#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7006006,,,,,
bgm,stop,,,,,
chara,14000101,アレイスター,10,
chara,47000101,カエル顔の医者,10,
chara,103000802,上里 翔流,11,
chara,107000101,ネフテュス,10,
chara,108000101,娘々,10,
chara,1002701,上条 当麻,21,
chara,247000101,豊山 琉華,10,
chara,4003501,御坂 美琴,10,
chara,105000101,烏丸 府蘭,10,
+place,上条 当麻,御坂 美琴,烏丸 府蘭,豊山 琉華,
+focus,on,上条 当麻,
bgm,play,30010011,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,上条 当麻,,,,
+talk,show,1,
talk,2,御坂 美琴,,,,
se,play,300600000310,,,,
+focus,off,上条 当麻,御坂 美琴,烏丸 府蘭,豊山 琉華,
wait,2,
talk,3,上条 当麻,,,,
talk,4,上条 当麻,,,,
talk,5,上条 当麻,,,,
talk,6,豊山 琉華,,,,
talk,7,豊山 琉華,,,,
talk,8,豊山 琉華,,,,
talk,9,豊山 琉華,,,,
talk,10,烏丸 府蘭,,,,
talk,11,豊山 琉華,,,,
talk,12,豊山 琉華,,,,
talk,13,豊山 琉華,,,,
talk,14,上条 当麻,,,,
talk,15,烏丸 府蘭,,,,
+se,play,300700000010,,,,
wait,1,
talk,16,豊山 琉華,,,,
+豊山 琉華.shake,"(0.10,0)","(10,0)",1,
talk,17,烏丸 府蘭,,,,
talk,18,豊山 琉華,,,,
talk,19,豊山 琉華,,,,
talk,20,豊山 琉華,,,,
talk,21,豊山 琉華,,,,
bgm,play,30010010,,,,
talk,22,上条 当麻,,,,
talk,23,豊山 琉華,,,,
talk,24,豊山 琉華,,,,
talk,25,豊山 琉華,,,,
talk,26,豊山 琉華,,,,
talk,27,豊山 琉華,,,,
talk,28,上条 当麻,,,,
talk,29,御坂 美琴,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,30,御坂 美琴,,,,
talk,31,上条 当麻,,,,
talk,32,豊山 琉華,,,,
talk,33,御坂 美琴,,,,
talk,34,豊山 琉華,,,,
talk,35,豊山 琉華,,,,
talk,36,上条 当麻,,,,
talk,37,豊山 琉華,,,,
talk,38,豊山 琉華,,,,
talk,39,豊山 琉華,,,,
talk,40,上条 当麻,,,,
talk,41,御坂 美琴,,,,
talk,42,上条 当麻,,,,
talk,43,上条 当麻,,,,
talk,44,上条 当麻,,,,
talk,45,上条 当麻,,,,
talk,46,御坂 美琴,,,,
bgm,stop,,,,,
talk,47,上条 当麻,,,,
bgm,play,30010017,,,,
talk,48,御坂 美琴,,,,
+se,play,0300800000080,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
wait,2,
se,play,300700000040,,,,
+御坂 美琴.fade,out,0.5,
+talk,show,0,
wait,1,
talk,49,上条 当麻,,,,
+talk,show,1,,,,
talk,50,豊山 琉華,,,,
+se,play,300400000340,,,,
wait,1,
talk,51,上条 当麻,,,,
talk,52,上条 当麻,,,,
talk,53,豊山 琉華,,,,
talk,54,豊山 琉華,,,,
talk,55,上条 当麻,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,
talk,show,0,
stage,1006,
上条 当麻.fade,out,0.5,
+烏丸 府蘭.fade,out,0.5,
+豊山 琉華.fade,out,0.5,
アレイスター.fade,in,0.5,
+place,アレイスター,
+focus,on,アレイスター,,,,
wait,2,
fade,in,1,#000000,0,
wait,3,
fade,out,1,#000000,0,
talk,show,0,
stage,7006006,,,,,
アレイスター.fade,out,0.5,
上条 当麻.fade,in,0.5,
+烏丸 府蘭.fade,in,0.5,
+豊山 琉華.fade,in,0.5,
+place,上条 当麻,空白,烏丸 府蘭,豊山 琉華,
+上条 当麻.facial,20,
+烏丸 府蘭.facial,10,
+豊山 琉華.facial,13,
+focus,on,豊山 琉華,
wait,2,
fade,in,1,#000000,0,
bgm,play,30010015,,,,
talk,56,豊山 琉華,,,,
+talk,show,1,
talk,57,豊山 琉華,,,,
talk,58,豊山 琉華,,,,
talk,59,上条 当麻,,,,
