#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,mat,ef_mat_heatwave_00_dst,
stage,7020007,,,,,
bgm,stop,,,,,
chara,1000401,上条 当麻,15,
chara,245000701,木原 唯一,12,
chara,155000704,去鳴,14,
chara,105000101,烏丸 府蘭,15,
+place,烏丸 府蘭,空白,
+focus,on,烏丸 府蘭,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,1,
bgm,play,30010009,,,,
talk,1,烏丸 府蘭,,,,
+talk,show,1,
se,play,300200000480,,,,
+上条 当麻.fade,in,0.5,
+focus,off,烏丸 府蘭,上条 当麻,
+place,烏丸 府蘭,上条 当麻,
wait,2,
talk,2,烏丸 府蘭,,,,
talk,3,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,4,烏丸 府蘭,,,,
talk,5,烏丸 府蘭,,,,
talk,6,烏丸 府蘭,,,,
talk,7,上条 当麻,,,,
talk,8,上条 当麻,,,,
talk,9,烏丸 府蘭,,,,
talk,10,上条 当麻,,,,
talk,11,烏丸 府蘭,,,,
talk,12,上条 当麻,,,,
talk,13,上条 当麻,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
stage,9004004,,,,,
stage,mat,
烏丸 府蘭.fade,out,0.5,
去鳴.fade,in,0.5,
+木原 唯一.fade,in,0.5,
+上条 当麻.facial,14,
+place,去鳴,空白,上条 当麻,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
talk,14,上条 当麻,,,,
+talk,show,1,
bgm,play,30010015,,,,
talk,15,去鳴,,,,
+去鳴.shake,"(0.10,0)","(10,0)",1,
talk,16,木原 唯一,,,,
talk,17,木原 唯一,,,,
talk,18,上条 当麻,,,,
talk,19,木原 唯一,,,,
+se,play,300200000480,,,,
+木原 唯一.fade,in,0.5,
+place,去鳴,木原 唯一,上条 当麻,
wait,1,
talk,20,木原 唯一,,,,
talk,21,木原 唯一,,,,
talk,22,木原 唯一,,,,
talk,23,去鳴,,,,
talk,24,木原 唯一,,,,
talk,25,木原 唯一,,,,
talk,26,木原 唯一,,,,
bgm,stop,,,,,
talk,27,木原 唯一,,,,
talk,28,去鳴,,,,
bgm,play,30010013,,,,
talk,29,木原 唯一,,,,
talk,30,木原 唯一,,,,
talk,31,木原 唯一,,,,
talk,32,木原 唯一,,,,
talk,33,木原 唯一,,,,
talk,34,去鳴,,,,
+去鳴.shake,"(0.10,0)","(10,0)",1,
talk,35,木原 唯一,,,,
talk,36,木原 唯一,,,,
talk,37,木原 唯一,,,,
talk,38,木原 唯一,,,,
talk,39,上里勢力の少女達,,,,
wait,1,
talk,40,木原 唯一,,,,
talk,41,上条 当麻,,,,
talk,42,木原 唯一,,,,
talk,43,木原 唯一,,,,
talk,44,上条 当麻,,,,
talk,45,木原 唯一,,,,
talk,46,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
stage,7020007,,,,,
stage,mat,ef_mat_heatwave_00_dst,
木原 唯一.fade,out,0.5,
+去鳴.fade,out,0.5,
烏丸 府蘭.fade,in,0.5,
+上条 当麻.fade,in,0.5,
+上条 当麻.facial,14,
+place,烏丸 府蘭,上条 当麻,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
bgm,play,30010018,,,,
talk,47,上条 当麻,,,,
+talk,show,1,
talk,48,上条 当麻,,,,
talk,49,上条 当麻,,,,
talk,50,上条 当麻,,,,
talk,51,上条 当麻,,,,
talk,52,上条 当麻,,,,
bgm,stop,,,,,
talk,53,上条 当麻,,,,
talk,54,烏丸 府蘭,,,,
bgm,play,30010020,,,,
talk,55,上条 当麻,,,,
talk,56,上条 当麻,,,,
talk,57,烏丸 府蘭,,,,
talk,58,上条 当麻,,,,
talk,59,上条 当麻,,,,
talk,60,上条 当麻,,,,
talk,61,烏丸 府蘭,,,,
talk,62,烏丸 府蘭,,,,
talk,63,上条 当麻,,,,
talk,64,上条 当麻,,,,
talk,65,烏丸 府蘭,,,,
talk,66,上条 当麻,,,,
talk,67,烏丸 府蘭,,,,
talk,68,上条 当麻,,,,
talk,69,上条 当麻,,,,
talk,70,上条 当麻,,,,
talk,71,上条 当麻,,,,
talk,72,上条 当麻,,,,
talk,73,烏丸 府蘭,,,,
talk,74,上条 当麻,,,,
talk,75,烏丸 府蘭,,,,
talk,76,上条 当麻,,,,
talk,77,上条 当麻,,,,
talk,78,上条 当麻,,,,
talk,79,上条 当麻,,,,
talk,80,上条 当麻,,,,
talk,81,上条 当麻,,,,
talk,82,上条 当麻,,,,
talk,83,上条 当麻,,,,
talk,84,上条 当麻,,,,
talk,85,上条 当麻,,,,
talk,86,上条 当麻,,,,
talk,87,上条 当麻,,,,
talk,88,上条 当麻,,,,
talk,89,上条 当麻,,,,
talk,90,上条 当麻,,,,
talk,91,上条 当麻,,,,
talk,92,上条 当麻,,,,
talk,93,上条 当麻,,,,
talk,94,上条 当麻,,,,
talk,95,上条 当麻,,,,
talk,96,上条 当麻,,,,
talk,97,上条 当麻,,,,
talk,98,上条 当麻,,,,
talk,99,上条 当麻,,,,
talk,100,上条 当麻,,,,
talk,101,上条 当麻,,,,
talk,102,上条 当麻,,,,
talk,103,上条 当麻,,,,
talk,104,上条 当麻,,,,
talk,105,上条 当麻,,,,
talk,106,上条 当麻,,,,
talk,107,上条 当麻,,,,
talk,108,上条 当麻,,,,
talk,109,上条 当麻,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],,,,, ,
