#command,param1,param2,param3,param4,
#,
stage,16002003,,,,
control,1,
bgm,stop,
chara,76000101,心理定規,12,
chara,42000101,垣根 帝督,13,
place,垣根 帝督,
+focus,on,垣根 帝督,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
bgm,play,30010011,,,
wait,0.5,
talk,1,垣根 帝督,,,
+talk,show,
se,play,0300100000010,,,
wait,1,
talk,2,垣根 帝督,,,
se,play,0300100000020,,,
wait,0.5,
talk,3,垣根 帝督,,,
talk,4,垣根 帝督,,,
se,play,0300100000030,,,
wait,0.5,
talk,5,垣根 帝督,,,
垣根 帝督.fade,out,0.5,
bgm,stop,
talk,6,心理定規,,,
+se,play,0300200000480,,,
+垣根 帝督.fade,in,0.5,
+心理定規.fade,in,0.5,
+place,垣根 帝督,心理定規,
bgm,play,30010008,,,
talk,7,心理定規,,,
talk,8,心理定規,,,
talk,9,垣根 帝督,,,
talk,10,垣根 帝督,,,
talk,11,心理定規,,,
talk,12,心理定規,,,
talk,13,垣根 帝督,,,
talk,14,垣根 帝督,,,
talk,15,心理定規,,,
talk,16,垣根 帝督,,,
talk,17,垣根 帝督,,,
talk,18,垣根 帝督,,,
talk,19,心理定規,,,
talk,20,垣根 帝督,,,
talk,21,垣根 帝督,,,
talk,22,垣根 帝督,,,
talk,23,心理定規,,,
talk,24,心理定規,,,
talk,25,垣根 帝督,,,
talk,26,垣根 帝督,,,
talk,27,心理定規,,,
talk,28,垣根 帝督,,,
talk,29,心理定規,,,
talk,30,垣根 帝督,,,
talk,31,心理定規,,,
talk,32,垣根 帝督,,,
talk,33,心理定規,,,
talk,34,垣根 帝督,,,
talk,35,心理定規,,,
talk,36,垣根 帝督,,,
talk,37,垣根 帝督,,,
talk,38,垣根 帝督,,,
talk,39,心理定規,,,
talk,40,垣根 帝督,,,
talk,41,心理定規,,,
talk,42,心理定規,,,
talk,43,垣根 帝督,,,
talk,44,心理定規,,,
talk,45,垣根 帝督,,,
talk,46,垣根 帝督,,,
talk,47,心理定規,,,
talk,48,垣根 帝督,,,
talk,49,心理定規,,,
wait,1,
se,play,0300200000022,,,
+心理定規.move,1,5,1,
+心理定規.fade,out,0.5,
wait,1,
talk,50,垣根 帝督,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
