#command,param1,param2,param3,param4,
#,
print,イギリス正教必要悪の教会 Chapter12,
stage,7004002,,,,
control,1,
bgm,stop,
chara,25000101,神裂 火織,13,
chara,24000101,ステイル,13,
chara,3000701,土御門 元春,13,
+focus,off,ステイル,土御門 元春,
+place,ステイル,土御門 元春,神裂 火織,
+神裂 火織.move,2,5,1,
+神裂 火織.fade,out,0.5,
+talk,start,
+talk,show,0,
fade,in,1,#000000,0,
bgm,play,30010017,1,,
se,play,300200000101,,,
wait,0.5,
神裂 火織.move,5,2,1,
+神裂 火織.fade,in,0.5,,,
+talk,show,1,
+talk,1,神裂 火織,,,
talk,2,ステイル,,,
talk,3,土御門 元春,,,
talk,4,神裂 火織,,,
talk,5,ステイル,,,
+se,play,300700000240,,,
+screen.effect,ef_com_00000_001_000_00,"(0,0)",1,0,
talk,6,土御門 元春,,,
+se,play,300700000720,,,
+screen.effect,stop,
talk,7,ステイル,,,
+ステイル.shake,"(0.10,0)","(10,0)",1,
talk,8,土御門 元春,,,
talk,9,神裂 火織,,,
talk,10,ステイルたち,,,
+stage.shake,"(0.10,0)","(10,0)",1,
+focus,on,ステイル,土御門 元春,
talk,11,神裂 火織,,,
talk,12,ステイル,,,
bgm,play,30010006,1,,
talk,13,神裂 火織,,,
talk,14,ステイル,,,
talk,15,神裂 火織,,,
talk,16,神裂 火織,,,
talk,17,ステイル,,,
talk,18,神裂 火織,,,
talk,19,土御門 元春,,,
talk,20,神裂 火織,,,
talk,21,神裂 火織,,,
talk,22,神裂 火織,,,
bgm,play,30010006,1,,
talk,23,ステイル,,,
talk,24,神裂 火織,,,
talk,25,ステイル,,,
talk,26,神裂 火織,,,
talk,27,ステイル,,,
talk,28,ステイル,,,
talk,29,土御門 元春,,,
talk,30,神裂 火織,,,
talk,31,土御門 元春,,,
talk,32,ステイル,,,
talk,33,神裂 火織,,,
talk,34,神裂 火織,,,
+se,play,300700000840,,,
talk,35,土御門 元春,,,
talk,36,ステイル,,,
talk,37,神裂 火織,,,
+se,play,300700000640,,,
+stage.shake,"(0.10,0)","(10,0)",1,
bgm,stop,
talk,38,土御門 元春,,,
talk,39,土御門 元春,,,
talk,40,ステイル,,,
talk,41,ステイル,,,
talk,42,土御門 元春,,,
talk,43,神裂 火織,,,
bgm,play,30010006,1,,
talk,44,ステイル,,,
talk,45,土御門 元春,,,
talk,46,土御門 元春,,,
talk,47,ステイル,,,
talk,48,土御門 元春,,,
bgm,play,30010017,1,,
talk,49,土御門 元春,,,
talk,50,ステイル,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
