#command,param1,param2,param3,param4,
#,
stage,7004003,,,,
control,1,
bgm,stop,
chara,508000106,黒服,16,
chara,42000101,垣根 帝督,12,
chara,76000101,心理定規,10,
place,黒服,
+黒服.move,0,5,1,
+黒服.fade,out,0.5,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
bgm,play,30010019,,,
se,play,300200000101,,,
+黒服.move,5,0,1,
+黒服.fade,in,0.5,
wait,0.5,
talk,1,黒服,,,
+talk,show,
wait,0.5,
黒服.fade,out,0.5,
talk,2,垣根 帝督,,,
+se,play,0300200000480,,,
+垣根 帝督.fade,in,0.5,
+黒服.fade,in,0.5,
+place,垣根 帝督,黒服,
talk,3,垣根 帝督,,,
talk,4,黒服,,,
talk,5,黒服,,,
talk,6,垣根 帝督,,,
talk,7,黒服,,,
talk,8,垣根 帝督,,,
talk,9,垣根 帝督,,,
focus,off,垣根 帝督,黒服,
se,play,0300200000990,,,
wait,1,
talk,10,黒服,,,
+黒服.shake,"(0.10,0)","(10,0)",1,
wait,0.5,
bgm,stop,
se,play,0300700000040,,,
+黒服.fade,out,0.5,
wait,0.5,
talk,11,垣根 帝督,,,
talk,12,心理定規,,,
+se,play,0300200000480,,,
+心理定規.fade,in,0.5,
+place,垣根 帝督,心理定規,
bgm,play,30010008,,,
talk,13,垣根 帝督,,,
talk,14,心理定規,,,
talk,15,垣根 帝督,,,
talk,16,心理定規,,,
talk,17,垣根 帝督,,,
talk,18,垣根 帝督,,,
talk,19,垣根 帝督,,,
talk,20,垣根 帝督,,,
talk,21,心理定規,,,
talk,22,垣根 帝督,,,
talk,23,心理定規,,,
talk,24,垣根 帝督,,,
talk,25,垣根 帝督,,,
bgm,stop,
talk,26,心理定規,,,
bgm,play,30010010,,,
talk,27,垣根 帝督,,,
talk,28,心理定規,,,
talk,29,垣根 帝督,,,
talk,30,垣根 帝督,,,
talk,31,垣根 帝督,,,
talk,32,心理定規,,,
talk,33,垣根 帝督,,,
talk,34,心理定規,,,
talk,35,垣根 帝督,,,
talk,36,心理定規,,,
talk,37,垣根 帝督,,,
talk,38,心理定規,,,
talk,39,心理定規,,,
talk,40,垣根 帝督,,,
talk,41,心理定規,,,
talk,42,心理定規,,,
talk,43,垣根 帝督,,,
talk,44,垣根 帝督,,,
talk,45,心理定規,,,
talk,46,垣根 帝督,,,
talk,47,心理定規,,,
talk,48,垣根 帝督,,,
talk,49,心理定規,,,
talk,50,垣根 帝督,,,
talk,51,垣根 帝督,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
