#command,param1,param2,param3,param4,
#,
control,1,
stage,5002001,,,,
bgm,stop,,,,
chara,1000101,上条 当麻,14,
chara,4000101,御坂 美琴,11,
+place,上条 当麻,
+御坂 美琴.fade,out,0.1,
+focus,on,上条 当麻,
bgm,play,30010001,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
#,,,,,
#,,,,,
talk,1,上条 当麻,,,
+talk,show,1,
#,,,,,
talk,2,上条 当麻,,,
+se,play,300100000150,,,
talk,show,0,
+上条 当麻.fade,out,0.5,
place,上条 当麻,御坂 美琴,
+上条 当麻.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+focus,on,御坂 美琴,
wait,1,
+se,play,300200000480,,,
talk,3,御坂 美琴,,,
+talk,show,1,
#,,,,,
talk,4,御坂 美琴,,,
#,,,,,
talk,5,上条 当麻,,,
#,,,,,
talk,6,御坂 美琴,,,
talk,7,,,,
#,,,,,
image,100020701,1,シーン01,
シーン01.fade,in,0.5,
se,play,300200000200,,,
wait,1,
talk,8,,,,
#,,,,,
image,100020701,2,シーン02,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
wait,1,
talk,9,,,,
#,,,,,
talk,10,,,,
#,,,,,
talk,11,,,,
#,,,,,
bgm,stop,,,,
image,100020701,3,シーン03,
シーン03.fade,in,0.5,
シーン02.fade,out,0.1,
wait,1,
+se,play,300200000480,,,
talk,12,？？？,,,
#,,,,,
talk,13,上条 当麻,,,
#,,,,,
talk,14,上条 当麻,,,
#,,,,,
image,100020701,4,シーン04,
シーン04.fade,in,0.5,
シーン03.fade,out,0.1,
bgm,play,30010012,,,
wait,1,
talk,15,ミサカ,,,
#,,,,,
talk,16,ミサカ,,,
#,,,,,
talk,17,御坂 美琴,,,
#,,,,,
talk,18,御坂 美琴,,,
#,,,,,
talk,19,ミサカ,,,
#,,,,,
talk,20,御坂 美琴,,,
#,,,,,
talk,21,ミサカ,,,
#,,,,,
talk,22,御坂 美琴,,,
#,,,,,
talk,23,御坂 美琴,,,
#,,,,,
talk,24,御坂 美琴,,,
#,,,,,
talk,25,御坂 美琴,,,
#,,,,,
talk,26,御坂 美琴,,,
#,,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
image,100020601,3,シーン05,
シーン05.fade,in,0.5,
シーン04.fade,out,0.1,
screen.effect,ef_com_00000_001_009_00,"(0,0)",0,0,
wait,1,
fade,in,1,#FFFFFF,0,
wait,2,
image,100020608,5,シーン06,
シーン06.fade,in,0.5,
シーン05.fade,out,0.1,
wait,1,
talk,27,御坂 美琴,,,
+talk,show,1,
#,,,,,
talk,28,御坂 美琴,,,
#,,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
image,100020701,6,シーン07,
シーン07.fade,in,0.5,
シーン06.fade,out,0.1,
screen.effect,stop,,,,
wait,1,
fade,in,1,#FFFFFF,0,
wait,1,
talk,29,御坂 美琴,,,
+talk,show,1,
talk,30,ミサカ,,,
#,,,,,
talk,31,御坂 美琴,,,
#,,,,,
talk,32,ミサカ,,,
#,,,,,
se,play,300500000010,,,
talk,33,ミサカ,,,
#,,,,,
image,100020701,7,シーン09,
シーン09.fade,in,0.5,
シーン07.fade,out,0.1,
wait,1,
talk,34,ミサカたち,,,
#,,,,,
bgm,stop,,,,
talk,35,御坂 美琴,,,
#,,,,,
talk,36,御坂 美琴,,,
#,,,,,
image,100020701,8,シーン10,
シーン10.fade,in,0.5,
シーン09.fade,out,0.1,
wait,1,
talk,37,御坂 美琴,,,
#,,,,,
talk,38,ミサカ,,,
se,play,300200000022,,,
#,,,,,
image,100020701,9,シーン11,
シーン11.fade,in,0.5,
シーン10.fade,out,0.1,
wait,1,
talk,39,御坂 美琴,,,
+se,play,300700000010,,,
#,,,,,
talk,40,御坂 美琴,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
