#command,param1,param2,param3,param4,
#,
control,1,
stage,3002001,,,,
bgm,stop,
chara,5000201,白井 黒子,15,
chara,10000201,食蜂 操祈,10,
+place,白井 黒子,空白,食蜂 操祈,
+focus,on,食蜂 操祈,
bgm,play,30010006,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
talk,1,食蜂 操祈,,,
+talk,show,1,
talk,2,白井 黒子,,,
talk,3,食蜂 操祈,,,
talk,4,食蜂 操祈,,,
talk,5,食蜂 操祈,,,
talk,6,食蜂 操祈,,,
talk,7,白井 黒子,,,
talk,8,食蜂 操祈,,,
talk,9,食蜂 操祈,,,
talk,10,白井 黒子,,,
talk,11,白井 黒子,,,
talk,12,食蜂 操祈,,,
talk,13,食蜂 操祈,,,
talk,14,食蜂 操祈,,,
talk,15,食蜂 操祈,,,
talk,16,白井 黒子,,,
talk,17,白井 黒子,,,
talk,18,食蜂 操祈,,,
talk,19,食蜂 操祈,,,
talk,20,白井 黒子,,,
talk,21,食蜂 操祈,,,
talk,22,食蜂 操祈,,,
talk,23,食蜂 操祈,,,
talk,24,食蜂 操祈,,,
talk,25,白井 黒子,,,
talk,26,白井 黒子,,,
talk,27,白井 黒子,,,
talk,28,食蜂 操祈,,,
talk,29,食蜂 操祈,,,
talk,30,白井 黒子,,,
talk,31,食蜂 操祈,,,
talk,32,白井 黒子,,,
talk,33,白井 黒子,,,
talk,34,食蜂 操祈,,,
+se,play,300400000340,,,
+食蜂 操祈.move,2,1,0.5,
wait,1,
talk,35,白井 黒子,,,
+se,play,300200000580,,,
+食蜂 操祈.move,1,2,0.5,
wait,1,
talk,36,白井 黒子,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
