#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,22001001,,,,,
stage,mat,ef_mat_heatwave_00_dst,
bgm,stop,,,,,
chara,1000401,上条 当麻,23,
chara,5001501,白井 黒子,14,
chara,10002001,食蜂 操祈,10,
chara,4001301,御坂 美琴,17,
+place,上条 当麻,
+focus,on,上条 当麻,
bgm,play,30010008,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,上条 当麻,,,,
+talk,show,1,
talk,2,上条 当麻,,,,
talk,3,上条 当麻,,,,
talk,4,上条 当麻,,,,
talk,5,上条 当麻,,,,
bgm,stop,,,,,
talk,6,常盤台中学生徒Ａ,,,,
bgm,play,30010006,,,,
talk,7,上条 当麻,,,,
talk,8,常盤台中学生徒Ａ,,,,
se,play,300200000340,,,,
+focus,off,上条 当麻,
wait,2,
talk,9,上条 当麻,,,,
talk,10,上条 当麻,,,,
talk,11,常盤台中学生徒Ｂ,,,,
+se,play,300200000910,,,,
wait,1,
talk,12,常盤台中学生徒Ｂ,,,,
talk,13,上条 当麻,,,,
talk,14,上条 当麻,,,,
talk,15,上条 当麻,,,,
talk,16,上条 当麻,,,,
talk,17,上条 当麻,,,,
talk,18,上条 当麻,,,,
bgm,stop,,,,,
talk,19,？？？,,,,
+se,play,300700000590,,,,
wait,1,
bgm,play,30010005,,,,
talk,20,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,21,上条 当麻,,,,
wait,1,
上条 当麻.fade,out,0.5,
wait,1,
talk,22,白井 黒子,,,,
+白井 黒子.fade,in,0.5,
+上条 当麻.fade,in,0.5,
+place,白井 黒子,上条 当麻,
talk,23,上条 当麻,,,,
talk,24,上条 当麻,,,,
talk,25,白井 黒子,,,,
talk,26,白井 黒子,,,,
talk,27,白井 黒子,,,,
+白井 黒子.shake,"(0.10,0)","(10,0)",1,
talk,28,白井 黒子,,,,
bgm,stop,,,,,
talk,29,上条 当麻,,,,
talk,30,白井 黒子,,,,
bgm,play,30010009,,,,
talk,31,上条 当麻,,,,
talk,32,上条 当麻,,,,
talk,33,白井 黒子,,,,
talk,34,白井 黒子,,,,
talk,35,白井 黒子,,,,
talk,36,白井 黒子,,,,
talk,37,上条 当麻,,,,
talk,38,白井 黒子,,,,
talk,39,白井 黒子,,,,
talk,40,白井 黒子,,,,
talk,41,白井 黒子,,,,
talk,42,上条 当麻,,,,
bgm,stop,,,,,
talk,43,白井 黒子,,,,
bgm,play,30010006,,,,
talk,44,白井 黒子,,,,
talk,45,白井 黒子,,,,
talk,46,白井 黒子,,,,
talk,47,白井 黒子,,,,
talk,48,白井 黒子,,,,
talk,49,上条 当麻,,,,
talk,50,白井 黒子,,,,
+白井 黒子.shake,"(0.10,0)","(10,0)",1,
talk,51,白井 黒子,,,,
se,play,300200000510,,,,
+白井 黒子.fade,out,0.5,
wait,1.5,
talk,52,上条 当麻,,,,
talk,53,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,54,上条 当麻,,,,
talk,55,上条 当麻,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
bgm,stop,,,,,
御坂 美琴.fade,in,0.5,
+上条 当麻.facial,21,
+place,御坂 美琴,上条 当麻,
+focus,off,御坂 美琴,上条 当麻,
wait,1.5,
fade,in,1,#FFFFFF,0,
se,play,300400000290,,,,
wait,2,
bgm,play,30010007,,,,
talk,56,御坂 美琴,,,,
+talk,show,1,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,57,御坂 美琴,,,,
talk,58,上条 当麻,,,,
talk,59,御坂 美琴,,,,
talk,60,御坂 美琴,,,,
talk,61,上条 当麻,,,,
talk,62,御坂 美琴,,,,
+se,play,300200000260,,,,
+screen.effect,ef_com_00000_002_007_00,"(0,0)",1,0,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,,,,,
+screen.effect,delete,
talk,show,0,
stage,3002001,,,,,
stage,mat,
上条 当麻.facial,10,
御坂 美琴.fade,out,0.5,
+place,空白,上条 当麻,
+focus,on,上条 当麻,
wait,1.5,
fade,in,1,#FFFFFF,0,
bgm,play,30010001,,,,
talk,63,上条 当麻,,,,
+talk,show,1,
talk,64,御坂 美琴,,,,
