#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,7002003,,,,,,
bgm,stop,,,,,,
chara,4000202,御坂 美琴,11,,,,
chara,67000101,御坂 美鈴,11,,,,
+talk,start,
+talk,show,0,
wait,0.5,
place,御坂 美琴,
+御坂 美琴.fade,in,0.5,
bgm,play,30010002,,,,,
fade,in,1,#000000,0,
talk,1,御坂 美琴,,,,,
+talk,show,1,
talk,2,御坂 美琴,,,,,
talk,3,御坂 美琴,,,,,
talk,4,御坂 美琴,,,,,
talk,5,御坂 美琴,,,,,
talk,6,御坂 美琴,,,,,
+se,play,300100000010,,,,,
talk,7,御坂 美琴,,,,,
+se,play,300100000020,,,,,
talk,8,御坂 美鈴,,,,,
talk,9,御坂 美琴,,,,,
talk,10,御坂 美鈴,,,,,
talk,11,御坂 美琴,,,,,
talk,12,御坂 美鈴,,,,,
talk,13,御坂 美琴,,,,,
talk,14,御坂 美鈴,,,,,
talk,15,御坂 美琴,,,,,
talk,16,御坂 美鈴,,,,,
talk,17,御坂 美鈴,,,,,
bgm,stop,,,,,,
talk,18,御坂 美琴,,,,,
wait,1,
fade,out,1,#FFFFFF,0,,,
御坂 美琴.fade,out,0.5,
+talk,show,0,
stage,12003003,,,,,,
place,御坂 美鈴,
+御坂 美鈴.fade,in,0.5,
fade,in,1,#FFFFFF,0,
bgm,play,30010016,,,,,
talk,19,御坂 美鈴,,,,,
+talk,show,1,
talk,20,御坂 美鈴,,,,,
talk,21,御坂 美琴,,,,,
talk,22,御坂 美鈴,,,,,
talk,23,御坂 美琴,,,,,
talk,24,御坂 美鈴,,,,,
talk,25,御坂 美鈴,,,,,
talk,26,御坂 美鈴,,,,,
talk,27,御坂 美鈴,,,,,
talk,28,御坂 美鈴,,,,,
talk,29,御坂 美琴,,,,,
talk,30,御坂 美琴,,,,,
talk,31,御坂 美鈴,,,,,
talk,32,御坂 美琴,,,,,
talk,33,御坂 美鈴,,,,,
se,play,300100000030,,,,,
talk,34,御坂 美鈴,,,,,
talk,35,御坂 美鈴,,,,,
wait,3,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
