#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録1巻チャプター1,
control,1,
+stage,1003001,
bgm,stop,
+chara,1000101,上条当麻,14,
+image,999999999,0,シーン00,
+fade,in,1,#000000,0,
+シーン00.fade,in,0.1,
+talk,start,
+talk,show,0,
bgm,play,030010001,
シーン00.fade,out,0.5,
+place,上条当麻,
wait,0.5,
talk,1,上条当麻,
+talk,show,1,
talk,2,上条当麻,
talk,3,上条当麻,
talk,4,上条当麻,
talk,5,上条当麻,
talk,6,上条当麻,
talk,7,上条当麻,
image,100010101,6,シーン06,
シーン06.fade,in,0.5,
wait,1,
image,100010101,7,シーン07,
シーン07.fade,in,0.5,
シーン06.fade,out,0.1,
wait,1,
image,100010101,8,シーン08,
シーン08.fade,in,0.5,
wait,0.5,
シーン08.shake,"(0.10,0)","(10,0)",1,
シーン07.fade,out,0.1,
wait,1,
talk,8,上条当麻,
fade,out,1,#FFFFFF,0,
シーン08.fade,out,0.1,
+chara,2001101,インデックス,14,
+place,インデックス,上条当麻,
fade,in,1,#FFFFFF,0,
talk,9,インデックス,
talk,10,上条当麻,
talk,11,インデックス,
talk,12,上条当麻,
talk,13,インデックス,
talk,14,上条当麻,
talk,15,インデックス,
talk,16,上条当麻,
talk,17,インデックス,
talk,18,上条当麻,
talk,19,上条当麻,
image,100010101,9,シーン09,
シーン09.fade,in,0.5,
wait,1,
talk,20,上条当麻,
talk,21,インデックス,
talk,22,上条当麻,
image,100010101,10,シーン10,
シーン10.fade,in,0.5,
+talk,23,インデックス,
se,play,0300200000180,
シーン09.fade,out,0.1,
image,100010101,11,シーン11,
シーン11.fade,in,0.5,
talk,24,上条当麻,
+シーン11.shake,"(0.10,0)","(10,0)",1,
シーン10.fade,out,0.1,
wait,1,
fade,out,1,#000000,0,
bgm,stop,
wait,1,
[END],
