#command,param1,param2,param3,param4,
#,
print,run story_script_420000004,
print,イベントポイントストーリー,
stage,10001001,
bgm,play,999990011,1,
fade,in,1.5,#000000,0,
wait,0.5,
talk,502000020,
chara,101,
place,101,
talk,502000021,
chara,4000101,
place,4000101,101,
talk,502000022,
talk,502000023,
talk,502000024,
talk,502000025,
talk,502000026,
talk,502000027,
talk,502000028,
talk,502000029,
talk,502000030,
talk,502000031,
talk,502000032,
talk,502000033,
talk,502000034,
talk,502000035,
talk,502000036,
talk,502000037,
wait,1,
fade,out,1.5,#000000,0,
bgm,stop,
wait,1,
[BACK],
