#command,param1,param2,param3,param4,
#,
print,常盤台中学 Chapter15,
stage,003003004,,,,
control,1,
bgm,stop,
chara,4000102,御坂 美琴,10,
chara,5000102,白井 黒子,14,
fade,in,1,#000000,0,
+focus,on,白井 黒子,
+place,白井 黒子,空白,御坂 美琴,
+talk,start,
+talk,show,0,
bgm,play,30010022,,,
wait,0.5,
talk,1,白井 黒子,,,
+talk,show,1,
talk,2,御坂 美琴,,,
talk,3,白井 黒子,,,
talk,4,御坂 美琴,,,
talk,5,白井 黒子,,,
talk,6,御坂 美琴,,,
talk,7,白井 黒子,,,
talk,8,御坂 美琴,,,
talk,9,御坂 美琴,,,
talk,10,御坂 美琴,,,
talk,11,白井 黒子,,,
talk,12,御坂 美琴,,,
talk,13,白井 黒子,,,
talk,14,御坂 美琴,,,
talk,15,御坂 美琴,,,
talk,16,御坂 美琴,,,
bgm,stop,
talk,17,白井 黒子,,,
talk,18,御坂 美琴,,,
bgm,play,30010005,,,
talk,19,白井 黒子,,,
+screen.effect,ef_com_00000_001_007_00,"(0,0)",1,0,
+白井 黒子.shake,"(0.10,0)","(10,0)",0.5,
screen.effect,stop,
talk,20,御坂 美琴,,,
+screen.effect,ef_com_00000_002_007_00,"(0,0)",1,0,
+白井 黒子.shake,"(0.10,0)","(10,0)",0.5,
wait,0.5,
screen.effect,stop,
bgm,play,30010001,,,
talk,21,白井 黒子,,,
talk,22,御坂 美琴,,,
talk,23,白井 黒子,,,
talk,24,御坂 美琴,,,
talk,25,御坂 美琴,,,
talk,26,白井 黒子,,,
talk,27,御坂 美琴,,,
talk,28,御坂 美琴,,,
talk,29,白井 黒子,,,
talk,30,御坂 美琴,,,
bgm,play,30010006,,,
talk,31,白井 黒子,,,
talk,32,白井 黒子,,,
talk,33,白井 黒子,,,
+screen.effect,ef_com_00000_001_007_00,"(0,0)",1,0,
talk,34,御坂 美琴,,,
talk,35,白井 黒子,,,
bgm,play,30010005,,,
talk,36,御坂 美琴,,,
se,play,300200000250,,,
+screen.effect,ef_com_00000_002_007_00,"(0,0)",1,0,
wait,0.5,
白井 黒子.shake,"(0.10,0)","(10,0)",0.5,
se,play,300700000040,,,
+白井 黒子.fade,out,0.5,
talk,37,白井 黒子,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,
wait,1,
[END],
