#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録7巻チャプター23,
control,1,
+stage,7002003,,,,
bgm,stop,
+chara,1000101,上条 当麻,10,
+chara,29000101,建宮 斎字,10,
+chara,24000101,ステイル,16,
+chara,2000101,インデックス,20,
+place,建宮 斎字,ステイル,インデックス,上条 当麻,
+focus,on,ステイル,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
bgm,play,30010008,1,,
wait,0.5,
talk,1,ステイル,,,
+talk,show,1,,,
talk,2,上条 当麻,,,
talk,3,ステイル,,,
talk,4,インデックス,,,
talk,5,上条 当麻,,,
talk,6,ステイル,,,
talk,7,ステイル,,,
talk,8,建宮 斎字,,,
talk,9,上条 当麻,,,
talk,10,ステイル,,,
talk,11,上条 当麻,,,
talk,12,ステイル,,,
talk,13,ステイル,,,
talk,14,上条 当麻,,,
talk,15,建宮 斎字,,,
talk,16,建宮 斎字,,,
talk,17,ステイル,,,
talk,18,建宮 斎字,,,
talk,19,ステイル,,,
talk,20,上条 当麻,,,
talk,21,ステイル,,,
talk,22,上条 当麻,,,
talk,23,ステイル,,,
talk,24,上条 当麻,,,
talk,25,ステイル,,,
talk,26,ステイル,,,
talk,27,ステイル,,,
talk,28,上条 当麻,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],




