#command,param1,param2,param3,param4,
#,
control,1,
stage,18002003,,,,
bgm,stop,,,,
chara,10001501,食蜂 操祈,11,
chara,21001001,御坂妹,10,
chara,2002101,インデックス,12,
chara,1001701,上条 当麻,14,
chara,4001301,御坂 美琴,20,
+食蜂 操祈.fade,out,0.1,
+御坂 美琴.fade,out,0.1,
+place,御坂妹,上条 当麻,インデックス,
+focus,on,御坂妹,
bgm,play,30010001,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,御坂妹,,,
+talk,show,1,
talk,2,インデックス,,,
talk,3,上条 当麻,,,
御坂妹.fade,out,0.5,
talk,4,御坂 美琴,,,
+御坂 美琴.fade,in,0.5,
+place,御坂 美琴,上条 当麻,インデックス,
bgm,stop,,,,
talk,5,御坂 美琴,,,
talk,6,上条 当麻,,,
bgm,play,30010004,,,
talk,7,御坂 美琴,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,8,上条 当麻,,,
talk,9,インデックス,,,
talk,10,上条 当麻,,,
talk,11,上条 当麻,,,
talk,12,上条 当麻,,,
インデックス.fade,out,0.5,
talk,13,食蜂 操祈,,,
+食蜂 操祈.fade,in,0.5,
+place,御坂 美琴,上条 当麻,食蜂 操祈,
talk,14,御坂 美琴,,,
talk,15,上条 当麻,,,
talk,16,御坂 美琴,,,
talk,17,上条 当麻,,,
talk,18,御坂 美琴,,,
talk,19,御坂 美琴,,,
talk,20,上条 当麻,,,
talk,21,上条 当麻,,,
talk,22,食蜂 操祈,,,
talk,23,上条 当麻,,,
talk,24,食蜂 操祈,,,
talk,25,食蜂 操祈,,,
talk,26,御坂 美琴,,,
talk,27,上条 当麻,,,
talk,28,御坂 美琴,,,
talk,29,上条 当麻,,,
talk,30,食蜂 操祈,,,
talk,31,食蜂 操祈,,,
talk,32,御坂 美琴,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
