#command,param1,param2,param3,param4,
#,
control,1,,,,
chara,13001001,一方通行,10,,
chara,21000101,御坂妹,10,,
talk,start,,,,
+talk,show,0,,,
place,一方通行,御坂妹,,,
+一方通行.fade,out,0.1,,,
+御坂妹.fade,out,0.1,,,
stage,015001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010007,1,,
# 会話開始,
talk,1,御坂妹,,,
+talk,show,1,,,
+御坂妹.fade,in,0.5,,,
talk,2,一方通行,,,
+一方通行.fade,in,0.5,,,
talk,3,御坂妹,,,
talk,4,一方通行,,,
talk,5,御坂妹,,,
talk,6,一方通行,,,
talk,7,御坂妹,,,
talk,8,一方通行,,,
talk,9,御坂妹,,,
talk,10,一方通行,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































