#command,param1,param2,param3,param4,param5,
#,
stage,5001001,,,,,
control,1,
bgm,stop,
chara,66000101,浜面 仕上,14,
chara,20000101,滝壺 理后,15,
chara,18000101,絹旗 最愛,10,
place,浜面 仕上,
wait,0.5,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
+focus,on,浜面 仕上,
bgm,play,30010001,,,,
wait,0.5,
talk,1,浜面 仕上,,,,
+talk,show,1,
talk,2,浜面 仕上,,,,
talk,3,浜面 仕上,,,,
talk,4,浜面 仕上,,,,
talk,5,浜面 仕上,,,,
talk,6,浜面 仕上,,,,
talk,7,浜面 仕上,,,,
talk,8,浜面 仕上,,,,
talk,9,浜面 仕上,,,,
talk,10,浜面 仕上,,,,
+浜面 仕上.effect,ef_com_00000_001_007_00,"(100,-350)",2,0,
wait,1,
浜面 仕上.effect,delete,
talk,11,浜面 仕上,,,,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
talk,12,浜面 仕上,,,,
talk,13,浜面 仕上,,,,
talk,14,浜面 仕上,,,,
talk,15,浜面 仕上,,,,
talk,16,浜面 仕上,,,,
talk,17,浜面 仕上,,,,
talk,18,浜面 仕上,,,,
talk,19,浜面 仕上,,,,
talk,20,浜面 仕上,,,,
talk,21,浜面 仕上,,,,
talk,22,浜面 仕上,,,,
talk,23,浜面 仕上,,,,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
talk,24,浜面 仕上,,,,
wait,0.5,
bgm,stop,
浜面 仕上.fade,out,0.5,
wait,0.5,
bgm,play,30010005,,,,
talk,25,滝壺 理后,,,,
+se,play,300200000480,,,,
+滝壺 理后.fade,in,0.5,
+浜面 仕上.fade,in,0.5,
+絹旗 最愛.fade,in,0.5,
+place,絹旗 最愛,浜面 仕上,滝壺 理后,
talk,26,浜面 仕上,,,,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
talk,27,絹旗 最愛,,,,
talk,28,浜面 仕上,,,,
talk,29,絹旗 最愛,,,,
talk,30,滝壺 理后,,,,
+se,play,300200000520,,,,
wait,0.5,
talk,31,浜面 仕上,,,,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
talk,32,浜面 仕上,,,,
talk,33,絹旗 最愛,,,,
talk,34,滝壺 理后,,,,
talk,35,絹旗 最愛,,,,
talk,36,浜面 仕上,,,,
bgm,stop,
talk,37,絹旗 最愛,,,,
se,play,300300000220,,,,
wait,1,
talk,38,滝壺 理后,,,,
se,play,300300000220,,,,
wait,1,
talk,39,浜面 仕上,,,,
bgm,play,30010002,,,,
talk,40,絹旗 最愛,,,,
talk,41,浜面 仕上,,,,
talk,42,浜面 仕上,,,,
talk,43,滝壺 理后,,,,
talk,44,浜面 仕上,,,,
talk,45,滝壺 理后,,,,
talk,46,浜面 仕上,,,,
bgm,play,30010022,,,,
talk,47,絹旗 最愛,,,,
talk,48,滝壺 理后,,,,
talk,49,滝壺 理后,,,,
talk,50,浜面 仕上,,,,
talk,51,滝壺 理后,,,,
talk,52,浜面 仕上,,,,
talk,53,浜面 仕上,,,,
se,play,300200000102,,,,
+浜面 仕上.move,1,5,1,
+浜面 仕上.fade,out,0.5,
wait,1,
talk,54,絹旗 最愛,,,,
se,play,300200000102,,,,
+絹旗 最愛.move,0,5,1,
+絹旗 最愛.fade,out,0.5,
wait,1,
talk,55,滝壺 理后,,,,
se,play,300200000022,,,,
+滝壺 理后.move,2,5,1,
+滝壺 理后.fade,out,0.5,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
