#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7002001,,,,,
bgm,stop,,,,,
chara,501000106,警備ロボット,10,
chara,37000201,佐天 涙子,11,
chara,241000101,サーティーンデス,20,
+place,サーティーンデス,佐天 涙子,
+focus,on,佐天 涙子,
bgm,play,30010006,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,佐天 涙子,,,,
+talk,show,1,
talk,2,サーティーンデス,,,,
talk,3,佐天 涙子,,,,
talk,4,サーティーンデス,,,,
talk,5,佐天 涙子,,,,
talk,6,サーティーンデス,,,,
talk,7,佐天 涙子,,,,
talk,8,佐天 涙子,,,,
talk,9,サーティーンデス,,,,
talk,10,サーティーンデス,,,,
talk,11,佐天 涙子,,,,
bgm,stop,,,,,
talk,12,サーティーンデス,,,,
bgm,play,30010008,,,,
talk,13,サーティーンデス,,,,
talk,14,佐天 涙子,,,,
talk,15,サーティーンデス,,,,
talk,16,サーティーンデス,,,,
talk,17,佐天 涙子,,,,
talk,18,サーティーンデス,,,,
talk,19,サーティーンデス,,,,
talk,20,サーティーンデス,,,,
talk,21,佐天 涙子,,,,
talk,22,サーティーンデス,,,,
talk,23,サーティーンデス,,,,
bgm,stop,,,,,
talk,24,佐天 涙子,,,,
talk,25,佐天 涙子,,,,
talk,26,サーティーンデス,,,,
talk,27,サーティーンデス,,,,
wait,1,
サーティーンデス.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
+talk,show,0,
wait,1,
se,play,300100000230,,,,
サーティーンデス.fade,in,0.5,
+警備ロボット.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+place,サーティーンデス,佐天 涙子,警備ロボット,
+focus,off,サーティーンデス,佐天 涙子,警備ロボット,
wait,2,
bgm,play,30010005,,,,
talk,28,警備ロボット,,,,
+talk,show,1,
talk,29,サーティーンデス,,,,
+サーティーンデス.shake,"(0.10,0)","(10,0)",1,
talk,30,サーティーンデス,,,,
talk,31,佐天 涙子,,,,
talk,32,サーティーンデス,,,,
talk,33,佐天 涙子,,,,
talk,34,サーティーンデス,,,,
+サーティーンデス.shake,"(0.10,0)","(10,0)",1,
talk,35,警備ロボット,,,,
talk,36,警備ロボット,,,,
talk,37,サーティーンデス,,,,
talk,38,佐天 涙子,,,,
talk,39,佐天 涙子,,,,
talk,40,サーティーンデス,,,,
talk,41,佐天 涙子,,,,
talk,42,佐天 涙子,,,,
talk,43,佐天 涙子,,,,
talk,44,サーティーンデス,,,,
talk,45,佐天 涙子,,,,
+佐天 涙子.shake,"(0.10,0)","(10,0)",1,
talk,46,サーティーンデス,,,,
talk,47,サーティーンデス,,,,
talk,48,警備ロボット,,,,
talk,49,佐天 涙子,,,,
talk,50,サーティーンデス,,,,
talk,51,サーティーンデス,,,,
talk,52,サーティーンデス,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
