#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,41001004,,,,,
bgm,stop,,,,,
chara,245000701,木原 唯一,11,
chara,103000802,上里 翔流,11,
chara,107000101,ネフテュス,10,
chara,108000101,娘々,10,
chara,1002701,上条 当麻,14,
chara,247000101,豊山 琉華,14,
chara,105000101,烏丸 府蘭,10,
+place,ネフテュス,上里 翔流,娘々,
+focus,on,上里 翔流,
bgm,play,30010008,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,上里 翔流,,,,
+talk,show,1,
talk,2,上里 翔流,,,,
talk,3,上里 翔流,,,,
talk,4,上里 翔流,,,,
talk,5,上里 翔流,,,,
talk,6,ネフテュス,,,,
talk,7,娘々,,,,
talk,8,上里 翔流,,,,
talk,9,娘々,,,,
talk,10,上里 翔流,,,,
talk,11,娘々,,,,
talk,12,娘々,,,,
talk,13,上里 翔流,,,,
talk,14,娘々,,,,
talk,15,娘々,,,,
talk,16,上里 翔流,,,,
talk,17,娘々,,,,
talk,18,娘々,,,,
talk,19,娘々,,,,
talk,20,娘々,,,,
talk,21,娘々,,,,
talk,22,上里 翔流,,,,
talk,23,娘々,,,,
talk,24,娘々,,,,
talk,25,上里 翔流,,,,
talk,26,娘々,,,,
talk,27,ネフテュス,,,,
talk,28,娘々,,,,
talk,29,娘々,,,,
talk,30,上里 翔流,,,,
talk,31,ネフテュス,,,,
talk,32,娘々,,,,
talk,33,上里 翔流,,,,
talk,34,娘々,,,,
talk,35,上里 翔流,,,,
talk,36,娘々,,,,
talk,37,ネフテュス,,,,
talk,38,ネフテュス,,,,
talk,39,娘々,,,,
talk,40,娘々,,,,
talk,41,娘々,,,,
talk,42,上里 翔流,,,,
talk,43,娘々,,,,
talk,44,娘々,,,,
talk,45,娘々,,,,
talk,46,ネフテュス,,,,
talk,47,ネフテュス,,,,
talk,48,上里 翔流,,,,
talk,49,娘々,,,,
talk,50,娘々,,,,
talk,51,娘々,,,,
talk,52,娘々,,,,
