#command,param1,param2,param3,param4,
#,,,,,
control,1,,,,
chara,32000101,ルチア,10,,
chara,31000101,アニェーゼ,10,,
talk,start,,,,
+talk,show,0,,,
place,アニェーゼ,ルチア,,,
+ルチア.fade,out,0.1,,,
+アニェーゼ.fade,out,0.1,,,
stage,021001001,,,,
+fade,in,1.0,#000000,0,
bgm,play,30010003,1,,
# 会話開始,
talk,1,アニェーゼ,,,
+talk,show,1,,,
+アニェーゼ.fade,in,0.5,,,
talk,2,ルチア,,,
+ルチア.fade,in,0.5,,,
bgm,stop,
talk,3,アニェーゼ,,,
アニェーゼ.shake,"(0.80,0)","(1,2)",2,
+se,play,0300400000340,,,
bgm,play,30010005,1,,
talk,4,ルチア,,,
talk,5,アニェーゼ,,,
talk,6,ルチア,,,
talk,7,ルチア,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































