#command,param1,param2,param3,param4,
#,サイド別ストーリー: 暗部組織-アイテム チャプター12,
print,雑用係見習い,
control,1,
bgm,stop,
stage,010001003,,,,
bgm,play,30010001,1,,
chara,11000201,麦野 沈利,10,
chara,66000101,浜面 仕上,10,
chara,20000201,滝壺 理后,10,
chara,18000201,絹旗 最愛,10,
chara,19000201,フレンダ,10,
+麦野 沈利.fade,out,0.1,
+浜面 仕上.fade,out,0.1,
+絹旗 最愛.fade,out,0.1,
+フレンダ.fade,out,0.1,
+滝壺 理后.fade,out,0.1,
talk,start,
+talk,show,0,
place,フレンダ,絹旗 最愛,滝壺 理后,浜面 仕上,
fade,in,1,#000000,0,
絹旗 最愛.fade,in,0.5,
talk,1,絹旗 最愛,,,
+talk,show,1,
浜面 仕上.fade,in,0.5,
talk,2,浜面 仕上,,,
フレンダ.fade,in,0.5,
talk,3,フレンダ,,,
talk,4,浜面 仕上,,,
talk,5,フレンダ,,,
talk,6,絹旗 最愛,,,
talk,7,浜面 仕上,,,
滝壺 理后.fade,in,0.5,
talk,8,滝壺 理后,,,
talk,9,浜面 仕上,,,
talk,10,フレンダ,,,
talk,11,絹旗 最愛,,,
talk,12,浜面 仕上,,,
talk,13,フレンダ,,,
滝壺 理后.fade,out,0.5,
place,フレンダ,絹旗 最愛,麦野 沈利,浜面 仕上,
麦野 沈利.fade,in,0.5,
talk,14,麦野 沈利,,,
talk,15,浜面 仕上,,,
talk,16,浜面 仕上,,,
talk,17,絹旗 最愛,,,
talk,18,浜面 仕上,,,
talk,19,麦野 沈利,,,
talk,20,浜面 仕上,,,
talk,21,麦野 沈利,,,
talk,22,麦野 沈利,,,
talk,23,フレンダ,,,
talk,24,絹旗 最愛,,,
麦野 沈利.fade,out,0.5,
place,フレンダ,絹旗 最愛,滝壺 理后,浜面 仕上,
滝壺 理后.fade,in,0.5,
talk,25,滝壺 理后,,,
talk,26,浜面 仕上,,,
talk,27,浜面 仕上,,,
talk,28,浜面 仕上,,,
talk,29,浜面 仕上,,,
talk,30,浜面 仕上,,,
talk,31,絹旗 最愛,,,
talk,32,フレンダ,,,
滝壺 理后.fade,out,0.5,
place,フレンダ,絹旗 最愛,麦野 沈利,浜面 仕上,
麦野 沈利.fade,in,0.5,
talk,33,麦野 沈利,,,
talk,34,浜面 仕上,,,
talk,35,絹旗 最愛,,,
talk,36,フレンダ,,,
talk,37,浜面 仕上,,,
talk,38,麦野 沈利,,,
talk,39,浜面 仕上,,,
talk,40,浜面 仕上,,,
麦野 沈利.fade,out,0.5,
place,フレンダ,絹旗 最愛,滝壺 理后,浜面 仕上,
滝壺 理后.fade,in,0.5,
talk,41,滝壺 理后,,,
talk,42,浜面 仕上,,,
talk,43,フレンダ,,,
talk,44,絹旗 最愛,,,
talk,45,浜面 仕上,,,
talk,46,滝壺 理后,,,
滝壺 理后.fade,out,0.5,
place,フレンダ,絹旗 最愛,麦野 沈利,浜面 仕上,
麦野 沈利.fade,in,0.5,
talk,47,麦野 沈利,,,
talk,48,麦野 沈利,,,
talk,49,フレンダ,,,
talk,50,絹旗 最愛,,,
talk,51,浜面 仕上,,,
絹旗 最愛.fade,out,0.5,
place,フレンダ,滝壺 理后,麦野 沈利,浜面 仕上,
滝壺 理后.fade,in,0.5,
talk,52,滝壺 理后,,,
talk,53,浜面 仕上,,,
talk,54,麦野 沈利,,,
talk,55,麦野 沈利,,,
talk,56,滝壺 理后,,,
talk,57,麦野 沈利,,,
talk,58,浜面 仕上,,,
talk,59,麦野 沈利,,,
talk,60,浜面 仕上,,,
talk,61,フレンダ,,,
talk,62,麦野 沈利,,,
talk,63,麦野 沈利,,,
talk,64,麦野 沈利,,,
talk,65,フレンダ,,,
滝壺 理后.fade,out,0.5,
place,フレンダ,絹旗 最愛,麦野 沈利,浜面 仕上,
絹旗 最愛.fade,in,0.5,
talk,66,絹旗 最愛,,,
talk,67,麦野 沈利,,,
talk,68,浜面 仕上,,,
talk,69,麦野 沈利,,,
talk,70,浜面 仕上,,,
wait,1,
fade,out,1,#FFFFFF,
bgm,stop,
wait,1,
[End],







