#command,param1,param2,param3,param4,
#,,,,,
control,1,,,,
chara,33000101,アンジェレネ,10,,
chara,31000101,アニェーゼ,10,,
talk,start,,,,
+talk,show,0,,,
place,アニェーゼ,アンジェレネ,,,
+アンジェレネ.fade,out,0.1,,,
+アニェーゼ.fade,out,0.1,,,
stage,021001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010007,1,,
# 会話開始,
talk,1,アンジェレネ,,,
+talk,show,1,
+アンジェレネ.fade,in,0.5,
talk,2,アニェーゼ,,,
+アニェーゼ.fade,in,0.5,
talk,3,アンジェレネ,,,
talk,4,アニェーゼ,,,
talk,5,アンジェレネ,,,
talk,6,アンジェレネ,,,
talk,7,アニェーゼ,,,
talk,8,アンジェレネ,,,
talk,9,アニェーゼ,,,
talk,10,アンジェレネ,,,
talk,11,アニェーゼ,,,
talk,12,アニェーゼ,,,
talk,13,アニェーゼ,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],












































