#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,5004007,,,,,
bgm,stop,,,,,
chara,103000802,上里 翔流,16,
chara,107000101,ネフテュス,10,
chara,108000101,娘々,10,
chara,1002501,上条 当麻,10,
chara,247000101,琉華,10,
chara,105000101,烏丸 府蘭,15,
+place,上条 当麻,烏丸 府蘭,
+focus,on,烏丸 府蘭,
bgm,play,30010019,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,烏丸 府蘭,,,,
+talk,show,1,
talk,2,上条 当麻,,,,
talk,3,上条 当麻,,,,
talk,4,烏丸 府蘭,,,,
talk,5,上条 当麻,,,,
se,play,300200000650,,,,
+focus,off,上条 当麻,烏丸 府蘭,
wait,3,
se,play,300700000350,,,,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,3,
talk,6,上条 当麻,,,,
talk,7,上条 当麻,,,,
se,play,300200000920,,,,
+focus,off,上条 当麻,烏丸 府蘭,
wait,3,
talk,8,上条 当麻,,,,
talk,9,烏丸 府蘭,,,,
talk,10,上条 当麻,,,,
talk,11,上条 当麻,,,,
talk,12,上条 当麻,,,,
talk,13,烏丸 府蘭,,,,
talk,14,上条 当麻,,,,
talk,15,上条 当麻,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
+上条 当麻.facial,10,
+烏丸 府蘭.facial,10,
+focus,off,上条 当麻,烏丸 府蘭,
wait,2,
fade,in,1,#000000,0,
bgm,play,30010009,,,,
talk,16,作業服の男,,,,
+talk,show,1,
talk,17,作業服の男,,,,
talk,18,作業服の男,,,,
talk,19,作業服の男,,,,
talk,20,上条 当麻,,,,
talk,21,作業服の男,,,,
talk,22,作業服の男,,,,
talk,23,作業服の男,,,,
talk,24,作業服の男,,,,
se,play,300200000022,,,,
wait,2,
talk,25,上条 当麻,,,,
talk,26,烏丸 府蘭,,,,
talk,27,上条 当麻,,,,
talk,28,烏丸 府蘭,,,,
talk,29,烏丸 府蘭,,,,
talk,30,上条 当麻,,,,
wait,1,
fade,out,1,#000000,0,
talk,show,0,
+上条 当麻.facial,10,
+烏丸 府蘭.facial,10,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
talk,31,上条 当麻,,,,
+talk,show,1,
talk,32,上条 当麻,,,,
talk,33,上条 当麻,,,,
talk,34,烏丸 府蘭,,,,
talk,35,烏丸 府蘭,,,,
talk,36,烏丸 府蘭,,,,
talk,37,烏丸 府蘭,,,,
talk,38,上条 当麻,,,,
talk,39,上条 当麻,,,,
talk,40,上条 当麻,,,,
talk,41,上条 当麻,,,,
talk,42,上条 当麻,,,,
talk,43,上条 当麻,,,,
talk,44,上条 当麻,,,,
talk,45,上条 当麻,,,,
talk,46,烏丸 府蘭,,,,
talk,47,上条 当麻,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
+上条 当麻.facial,10,
+烏丸 府蘭.facial,13,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
bgm,play,30010008,,,,
talk,48,上条 当麻,,,,
+talk,show,1,
talk,49,上条 当麻,,,,
talk,50,上条 当麻,,,,
talk,51,上条 当麻,,,,
talk,52,上条 当麻,,,,
talk,53,上条 当麻,,,,
talk,54,烏丸 府蘭,,,,
talk,55,烏丸 府蘭,,,,
talk,56,上条 当麻,,,,
talk,57,烏丸 府蘭,,,,
talk,58,烏丸 府蘭,,,,
talk,59,烏丸 府蘭,,,,
talk,60,上条 当麻,,,,
talk,61,烏丸 府蘭,,,,
talk,62,上条 当麻,,,,
talk,63,上条 当麻,,,,
talk,64,上条 当麻,,,,
talk,65,上条 当麻,,,,
