#command,param1,param2,param3,param4,
#,
control,1,,,,
chara,28000101,オルソラ,10,,
chara,25000101,神裂 火織,10,,
talk,start,,,,
+talk,show,0,,,
place,神裂 火織,オルソラ,,,
+オルソラ.fade,out,0.1,,,
+神裂 火織.fade,out,0.1,,,
stage,021001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010001,1,,
# 会話開始,
talk,1,オルソラ,,,
+talk,show,1,
+オルソラ.fade,in,0.5,
talk,2,神裂 火織,,,
+神裂 火織.fade,in,0.5,
talk,3,オルソラ,,,
talk,4,神裂 火織,,,
talk,5,オルソラ,,,
bgm,stop,
bgm,play,30010005,1,,
talk,6,神裂 火織,,,
talk,7,神裂 火織,,,
talk,8,神裂 火織,,,
talk,9,神裂 火織,,,
talk,10,オルソラ,,,
talk,11,オルソラ,,,
talk,12,オルソラ,,,
talk,13,神裂 火織,,,
talk,14,オルソラ,,,
talk,15,神裂 火織,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































