#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7001007,,,,,
image,401000105,1,シーン1,
bgm,stop,,,,,
chara,1002701,上条 当麻,20,
chara,247000101,琉華,13,
chara,248000101,琉華(幼女),13,
chara,105000101,烏丸 府蘭,10,
+place,上条 当麻,空白,
+focus,on,上条 当麻,
bgm,play,30010017,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,上条 当麻,,,,
+talk,show,1,
琉華.fade,in,0.5,
+place,上条 当麻,琉華,
+focus,off,上条 当麻,琉華,
wait,1.5,
talk,2,上条 当麻,,,,
talk,3,琉華,,,,
wait,1.5,
se,play,300200000180,,,,
+琉華.fade,out,0.5,
wait,1,
talk,4,上条 当麻,,,,
wait,1.5,
琉華(幼女).fade,in,0.5,
+place,上条 当麻,琉華(幼女),
+focus,off,上条 当麻,琉華(幼女),
wait,1.5,
talk,5,上条 当麻,,,,
talk,6,上条 当麻,,,,
se,play,300200000580,,,,
+focus,off,上条 当麻,琉華(幼女),
wait,2,
se,play,300700000040,,,,
+琉華(幼女).fade,out,0.5,
wait,1.5,
fade,out,1,#FFFFFF,0,
+se,play,300200000170,,,,
talk,show,0,
琉華(幼女).fade,out,0.5,
+focus,off,上条 当麻,
wait,0.5,
fade,in,1,#FFFFFF,0,
talk,7,琉華,,,,
+talk,show,1,
+se,play,300200000480,,,,
+琉華.fade,in,0.5,
+place,上条 当麻,琉華,
wait,1,
talk,8,琉華,,,,
talk,9,琉華,,,,
wait,1,
上条 当麻.fade,out,0.5,
+琉華.fade,out,0.5,
talk,10,烏丸 府蘭,,,,
+se,play,300200000480,,,,
+上条 当麻.fade,in,0.5,
+琉華.fade,in,0.5,
+烏丸 府蘭.fade,in,0.5,
+place,上条 当麻,琉華,烏丸 府蘭,
talk,11,琉華,,,,
+se,play,300200001050,,,,
+琉華.shake,"(0.10,0)","(10,0)",1,
talk,12,琉華,,,,
talk,13,琉華,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
se,play,300400000340,,,,
talk,show,0,
シーン1.fade,in,0.5,,,,
