#command,param1,param2,param3,param4,
#,
stage,28001004,,,,
control,1,
bgm,stop,
chara,26000501,ローラ,10,
chara,24000101,ステイル,14,
chara,1000501,上条 当麻,10,
chara,4000502,御坂 美琴,12,
chara,47000101,カエル顔の医者,10,
chara,21000201,御坂妹,10,
chara,21000501,御坂妹(メイド),10,
+place,ステイル,ローラ,
+focus,on,ローラ,
bgm,play,30010006,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
talk,1,ローラ,,,
+talk,show,1,
wait,0.5,
talk,2,ステイル,,,
talk,3,ローラ,,,
talk,4,ステイル,,,
talk,5,ローラ,,,
talk,6,ローラ,,,
talk,7,ステイル,,,
talk,8,ローラ,,,
talk,9,ステイル,,,
talk,10,ステイル,,,
wait,1,
fade,out,1,#ffffff,0,
talk,show,0,
bgm,stop,
stage,22001002,
+place,上条 当麻,御坂 美琴,
+御坂 美琴.move,5,0,1,
+御坂 美琴.fade,out,0.5,
+focus,on,上条 当麻,
wait,1,
fade,in,1,#ffffff,0,
talk,11,上条 当麻,,,
+talk,show,1,
se,play,300200000031,,,
talk,12,御坂 美琴,,,
御坂 美琴.move,5,1,1,
+御坂 美琴.fade,in,0.5,
bgm,play,30010022,,,
talk,13,上条 当麻,,,
talk,14,御坂 美琴,,,
talk,15,御坂 美琴,,,
talk,16,上条 当麻,,,
talk,17,御坂 美琴,,,
talk,18,上条 当麻,,,
talk,19,御坂 美琴,,,
talk,20,上条 当麻,,,
talk,21,御坂 美琴,,,
talk,22,上条 当麻,,,
talk,23,上条 当麻,,,
talk,24,御坂 美琴,,,
talk,25,御坂 美琴,,,
talk,26,上条 当麻,,,
talk,27,御坂 美琴,,,
talk,28,上条 当麻,,,
talk,29,御坂 美琴,,,
talk,30,上条 当麻,,,
talk,31,御坂 美琴,,,
talk,32,上条 当麻,,,
talk,33,御坂 美琴,,,
talk,34,上条 当麻,,,
talk,35,上条 当麻,,,
bgm,stop,
talk,36,上条 当麻,,,
talk,37,御坂 美琴,,,
+se,play,300200000200,,,
bgm,play,30010005,,,
talk,38,上条 当麻,,,
talk,39,御坂 美琴,,,
talk,40,上条 当麻,,,
talk,41,御坂 美琴,,,
+se,play,300200000260,,,
+screen.effect,ef_com_00000_002_007_00,"(0,0)",1,0,
+stage.shake,"(0.10,0)","(10,0)",1,
talk,42,上条 当麻,,,
wait,1,
fade,out,1,#ffffff,0,
talk,show,0,
bgm,stop,
screen.effect,delete,
stage,8001004,
+place,御坂妹,カエル顔の医者,,,
+focus,off,御坂妹,カエル顔の医者,
wait,1,
fade,in,1,#ffffff,0,
bgm,play,30010022,,,
talk,43,,,,
+talk,show,1,
talk,44,カエル顔の医者,,,
talk,45,御坂妹,,,
talk,46,御坂妹,,,
talk,47,カエル顔の医者,,,
talk,48,御坂妹,,,
talk,49,カエル顔の医者,,,
カエル顔の医者.move,1,5,1,
+カエル顔の医者.fade,out,0.5,
+se,play,300200000012,,,
fade,out,1,#ffffff,0,
talk,show,0,
stage,8002001,
+place,御坂妹,,,,
+御坂妹.facial,14,
+focus,on,御坂妹,
wait,1,
fade,in,1,#ffffff,0,
talk,50,御坂妹,,,
+talk,show,1,
+se,play,300400000190,,,
talk,51,御坂妹,,,
talk,52,御坂妹,,,
se,play,300400000280,,,
talk,53,御坂妹,,,
talk,54,御坂 美琴,,,
talk,55,御坂 美琴,,,
talk,56,御坂 美琴,,,
talk,57,御坂 美琴,,,
talk,58,御坂妹,,,
talk,59,御坂妹,,,
talk,60,御坂妹,,,
wait,1,
fade,out,1,#ffffff,0,
talk,show,0,
+se,play,300400000340,,,
+place,御坂妹(メイド),
+御坂妹(メイド).facial,17,
+focus,on,御坂妹(メイド),
wait,1,
fade,in,1,#ffffff,0,
talk,61,御坂妹(メイド),,,
+talk,show,1,
talk,62,御坂妹(メイド),,,
talk,63,御坂妹(メイド),,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
