#command,param1,param2,param3,param4,
#,
control,1,,,,
chara,13001001,一方通行,10,,
chara,22000101,打ち止め,10,,
talk,start,,,,
+talk,show,0,,,
place,一方通行,打ち止め,,,
+一方通行.fade,out,0.1,,,
+打ち止め.fade,out,0.1,,,
stage,015001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010003,1,,
# 会話開始,
talk,1,一方通行,,,
+talk,show,1,,,
+一方通行.fade,in,0.5,,,
talk,2,打ち止め,,,
+打ち止め.fade,in,0.5,,,
+打ち止め.shake,"(0.80,0)","(1,2)",2,
talk,3,一方通行,,,
talk,4,打ち止め,,,
talk,5,打ち止め,,,
talk,6,一方通行,,,
talk,7,打ち止め,,,
talk,8,一方通行,,,
talk,9,打ち止め,,,
talk,10,一方通行,,,
talk,11,打ち止め,,,
+打ち止め.shake,"(0.80,0)","(1,2)",2,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































