#command,param1,param2,param3,param4,
#,
control,1,
stage,5002001,,,,
bgm,stop,,,,
chara,4000101,御坂 美琴,12,
+place,御坂 美琴,
+focus,on,御坂 美琴,
bgm,play,30010001,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
#,,,,,
#,,,,,
talk,1,御坂 美琴,,,
+talk,show,1,
#,,,,,
talk,2,御坂 美琴,,,
talk,3,,,,
#,,,,,
#,,,,,
#,,,,,
bgm,stop,,,,
image,100020605,1,シーン01,
シーン01.fade,in,0.5,
bgm,play,30010003,,,
wait,1,
se,play,300200000062,,,
talk,4,少女Ａ,,,
talk,5,御坂 美琴,,,
#,,,,,
talk,6,御坂 美琴,,,
#,,,,,
talk,show,0,
bgm,stop,,,,
image,100020605,2,シーン02,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
se,play,300800000460,,,
wait,2,
bgm,play,30010003,,,
image,100020605,1,シーン01,
シーン01.fade,in,0.5,
シーン02.fade,out,0.1,
wait,1,
talk,7,少女Ａ,,,
+talk,show,1,
#,,,,,
talk,8,御坂 美琴,,,
#,,,,,
talk,9,御坂 美琴,,,
#,,,,,
image,100020605,3,シーン03,
シーン03.fade,in,0.5,
シーン01.fade,out,0.1,
wait,1,
talk,10,少女Ａ,,,
talk,11,御坂 美琴,,,
#,,,,,
talk,12,少女達,,,
se,play,300600000050,,,
wait,3,
#,,,,,
bgm,stop,,,,
image,100020605,4,シーン04,
シーン04.fade,in,0.5,
シーン03.fade,out,0.1,
bgm,play,30010011,,,
wait,1,
se,play,300200000102,,,
talk,13,御坂 美琴,,,
#,,,,,
talk,14,御坂 美琴,,,
#,,,,,
talk,15,御坂 美琴,,,
#,,,,,
talk,16,御坂 美琴,,,
#,,,,,
talk,17,御坂 美琴,,,
#,,,,,
talk,18,御坂 美琴,,,
#,,,,,
image,100020605,5,シーン05,
シーン05.fade,in,0.5,
シーン04.fade,out,0.1,
wait,1,
talk,19,御坂 美琴,,,
#,,,,,
talk,20,御坂 美琴,,,
#,,,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
