#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,7002001,,,,,,
bgm,stop,,,,,,
chara,1000201,上条 当麻,11,,,,
chara,66000101,浜面 仕上,10,,,,
chara,4002102,御坂 美琴,12,,,,
chara,18000701,絹旗 最愛,12,,,,
+talk,start,
+talk,show,0,
wait,0.5,
place,上条 当麻,
+上条 当麻.fade,in,0.5,
bgm,play,30010001,,,,,
fade,in,1,#000000,0,
talk,1,上条 当麻,,,,,
+talk,show,1,
talk,2,上条 当麻,,,,,
wait,1,
上条 当麻.fade,out,0.5,
place,上条 当麻,浜面 仕上,
+上条 当麻.fade,in,0.5,
+浜面 仕上.fade,in,0.5,
talk,3,浜面 仕上,,,,,
talk,4,上条 当麻,,,,,
talk,5,浜面 仕上,,,,,
talk,6,上条 当麻,,,,,
talk,7,浜面 仕上,,,,,
wait,1,
fade,out,1,#FFFFFF,0,,,
上条 当麻.fade,out,0.5,
+浜面 仕上.fade,out,0.5,
stage,7007001,,,,,,
place,御坂 美琴,絹旗 最愛,上条 当麻,浜面 仕上,
+上条 当麻.fade,in,0.5,
+浜面 仕上.fade,in,0.5,
+絹旗 最愛.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+上条 当麻.facial,10,
+浜面 仕上.facial,10,
bgm,stop,,,,,,
focus,on,御坂 美琴,
fade,in,1,#FFFFFF,0,
+se,play,300400000120,,,,,
+talk,show,0,
wait,0.5,
bgm,play,30010007,,,,,
talk,8,御坂 美琴,,,,,
+talk,show,1,
talk,9,絹旗 最愛,,,,,
talk,10,上条 当麻,,,,,
talk,11,浜面 仕上,,,,,
talk,12,絹旗 最愛,,,,,
talk,13,浜面 仕上,,,,,
talk,14,御坂 美琴,,,,,
talk,15,上条 当麻,,,,,
talk,16,御坂 美琴,,,,,
talk,17,御坂 美琴,,,,,
talk,18,上条 当麻,,,,,
talk,19,浜面 仕上,,,,,
talk,20,絹旗 最愛,,,,,
talk,21,浜面 仕上,,,,,
talk,22,絹旗 最愛,,,,,
talk,23,浜面 仕上,,,,,
talk,24,絹旗 最愛,,,,,
talk,25,上条 当麻,,,,,
talk,26,上条 当麻,,,,,
talk,27,御坂 美琴,,,,,
talk,28,上条 当麻,,,,,
talk,29,上条 当麻,,,,,
talk,30,浜面 仕上,,,,,
talk,31,絹旗 最愛,,,,,
talk,32,上条 当麻,,,,,
talk,33,浜面 仕上,,,,,
+bgm,stop,,,,,,
bgm,play,30010020,,,,,
+talk,34,浜面 仕上,,,,,
talk,35,浜面 仕上,,,,,
talk,36,上条 当麻,,,,,
talk,37,浜面 仕上,,,,,
talk,38,上条 当麻,,,,,
talk,39,上条 当麻,,,,,
talk,40,御坂 美琴,,,,,
talk,41,浜面 仕上,,,,,
talk,42,上条 当麻,,,,,
talk,43,絹旗 最愛,,,,,
talk,44,御坂 美琴,,,,,
wait,3,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
