#command,param1,param2,param3,param4,param5,
#,
stage,006001001,,,,,
control,1,
bgm,stop,
chara,1000101,上条 当麻,21,
chara,4000102,御坂 美琴,10,
chara,10000101,食蜂 操祈,23,
chara,6000101,月詠 小萌,12,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
+place,月詠 小萌,上条 当麻,
+focus,on,月詠 小萌,
bgm,play,30010001,,,,
wait,0.5,
talk,1,月詠 小萌,,,,
+talk,show,1,
talk,2,上条 当麻,,,,
bgm,stop,
se,play,300100000240,,,,
wait,0.5,
talk,3,月詠 小萌,,,,
se,play,300200000012,,,,
+月詠 小萌.move,0,4,1,
+月詠 小萌.fade,out,0.5,0,
wait,2,
se,play,300400000010,,,,
talk,4,月詠 小萌,,,,
se,play,300200000610,,,,
+stage.shake,"(0.10,0)","(10,0)",1,
fade,out,1,#FFFFFF,0,
talk,show,0,
+上条 当麻.facial,15,
+月詠 小萌.fade,in,0.5,0,
+place,食蜂 操祈,月詠 小萌,上条 当麻,御坂 美琴,
+focus,on,御坂 美琴,
wait,1,
fade,in,1,#FFFFFF,0,
bgm,play,30010006,,,,
talk,5,御坂 美琴,,,,
+talk,show,1,
talk,6,上条 当麻,,,,
talk,7,食蜂 操祈,,,,
talk,8,月詠 小萌,,,,
talk,9,月詠 小萌,,,,
talk,10,御坂 美琴,,,,
talk,11,食蜂 操祈,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
+上条 当麻.facial,21,
+月詠 小萌.facial,15,
+御坂 美琴.facial,12,
+食蜂 操祈.facial,10,
+focus,on,月詠 小萌,
wait,1,
fade,in,1,#FFFFFF,0,
bgm,play,30010001,,,,
talk,12,月詠 小萌,,,,
+talk,show,1,
talk,13,御坂 美琴,,,,
talk,14,月詠 小萌,,,,
talk,15,食蜂 操祈,,,,
talk,16,御坂 美琴,,,,
talk,17,食蜂 操祈,,,,
talk,18,御坂 美琴,,,,
talk,19,御坂 美琴,,,,
talk,20,月詠 小萌,,,,
talk,21,月詠 小萌,,,,
bgm,stop,
talk,22,上条 当麻,,,,
wait,1,
bgm,play,30010006,,,,
talk,23,御坂 美琴,,,,
talk,24,食蜂 操祈,,,,
talk,25,御坂 美琴,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,26,食蜂 操祈,,,,
talk,27,御坂 美琴,,,,
talk,28,月詠 小萌,,,,
talk,29,月詠 小萌,,,,
talk,30,御坂 美琴,,,,
talk,31,食蜂 操祈,,,,
bgm,stop,
talk,32,月詠 小萌,,,,
bgm,play,30010003,,,,
talk,33,月詠 小萌,,,,
talk,34,御坂 美琴,,,,
talk,35,月詠 小萌,,,,
talk,36,月詠 小萌,,,,
talk,37,御坂 美琴,,,,
talk,38,食蜂 操祈,,,,
bgm,play,30010006,,,,
talk,39,御坂 美琴,,,,
talk,40,上条 当麻,,,,
talk,41,食蜂 操祈,,,,
talk,42,上条 当麻,,,,
talk,43,上条 当麻,,,,
talk,44,月詠 小萌,,,,
talk,45,月詠 小萌,,,,
bgm,stop,
talk,46,月詠 小萌,,,,
bgm,play,30010005,,,,
talk,47,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,48,御坂 美琴,,,,
talk,49,食蜂 操祈,,,,
talk,50,上条 当麻,,,,
talk,51,上条 当麻,,,,
talk,52,御坂 美琴,,,,
+se,play,300200000200,,,,
talk,53,食蜂 操祈,,,,
talk,54,上条 当麻,,,,
talk,55,御坂 美琴,,,,
+screen.effect,ef_com_00000_002_007_00,"(0,0)",1,0,
+stage.shake,"(0.10,0)","(10,0)",1,
talk,56,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,57,上条 当麻,,,,
wait,1,
screen.effect,delete,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
