#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,15001001,,,,,
bgm,stop,,,,,
chara,21000201,ミサカ一〇〇四六号,10,
chara,92000101,エステル,10,
chara,22000101,打ち止め,21,
+place,ミサカ一〇〇四六号,エステル,打ち止め,
+focus,on,打ち止め,
bgm,play,30010003,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,打ち止め,,,,
+talk,show,1,
talk,2,打ち止め,,,,
+打ち止め.shake,"(0.80,0)","(1,2)",2,
wait,1,
talk,3,エステル,,,,
talk,4,エステル,,,,
talk,5,打ち止め,,,,
talk,6,打ち止め,,,,
bgm,stop,,,,,
talk,7,ミサカ一〇〇四六号,,,,
bgm,play,30010006,,,,
talk,8,ミサカ一〇〇四六号,,,,
talk,9,打ち止め,,,,
talk,10,ミサカ一〇〇四六号,,,,
talk,11,ミサカ一〇〇四六号,,,,
talk,12,エステル,,,,
talk,13,エステル,,,,
talk,14,打ち止め,,,,
talk,15,打ち止め,,,,
talk,16,ミサカ一〇〇四六号,,,,
talk,17,ミサカ一〇〇四六号,,,,
talk,18,エステル,,,,
talk,19,ミサカ一〇〇四六号,,,,
talk,20,ミサカ一〇〇四六号,,,,
talk,21,ミサカ一〇〇四六号,,,,
talk,22,ミサカ一〇〇四六号,,,,
talk,23,エステル,,,,
bgm,stop,,,,,
se,play,300200000240,,,,
+focus,off,ミサカ一〇〇四六号,エステル,打ち止め,
+talk,show,0,
wait,2,
bgm,play,30010024,,,,
talk,24,牧上 小牧,,,,
+talk,show,1,
talk,25,牧上 小牧,,,,
talk,26,牧上 小牧,,,,
talk,27,牧上 小牧,,,,
talk,28,食蜂派閥の生徒たち,,,,
wait,1,
fade,out,1,#FFFFFF,0,
wait,0.5,
talk,show,0,
ミサカ一〇〇四六号.facial,10,
エステル.facial,20,
打ち止め.facial,10,
fade,in,1,#FFFFFF,0,
talk,29,牧上 小牧,,,,
+talk,show,1,
talk,30,食蜂派閥の生徒Ｃ,,,,
talk,31,食蜂派閥の生徒Ｃ,,,,
talk,32,食蜂派閥の生徒Ｄ,,,,
talk,33,牧上 小牧,,,,
talk,34,食蜂派閥の生徒Ｄ,,,,
wait,1,
bgm,stop,,,,,
se,play,300200000062,,,,
+talk,show,0,
wait,2,
bgm,play,30010003,,,,
talk,35,エステル,,,,
+talk,show,1,
talk,36,打ち止め,,,,
talk,37,エステル,,,,
talk,38,ミサカ一〇〇四六号,,,,
talk,39,ミサカ一〇〇四六号,,,,
talk,40,打ち止め,,,,
talk,41,打ち止め,,,,
talk,42,打ち止め,,,,
talk,43,打ち止め,,,,
talk,44,エステル,,,,
talk,45,エステル,,,,
talk,46,エステル,,,,
talk,47,打ち止め,,,,
talk,48,打ち止め,,,,
talk,49,打ち止め,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],,,,, ,
