#command,param1,param2,param3,param4,
#,
control,1,
stage,14001001,,,,
bgm,stop,,,,
chara,4000101,御坂 美琴,10,
chara,130000101,フェブリ,11,
+place,御坂 美琴,フェブリ,
+focus,off,
image,100020918,1,シーン01,
シーン01.fade,in,0.5,
bgm,play,30010017,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
#,#,,,,
#,#,,,,
talk,1,初春 飾利,,,
+talk,show,1,
talk,2,初春 飾利,,,
#,#,,,,
talk,3,固法 美偉,,,
#,#,,,,
talk,4,佐天 涙子,,,
#,#,,,,
talk,5,白井 黒子,,,
talk,6,初春 飾利,,,
#,#,,,,
image,100020918,2,シーン02,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
wait,1,
talk,7,佐天 涙子,,,
talk,8,御坂 美琴,,,
#,#,,,,
talk,9,御坂 美琴,,,
#,#,,,,
talk,10,白井 黒子,,,
#,#,,,,
bgm,stop,,,,
talk,11,婚后 光子,,,
bgm,play,30010015,,,
#,#,,,,
talk,12,御坂 美琴,,,
#,#,,,,
talk,13,御坂 美琴,,,
#,#,,,,
talk,14,御坂 美琴,,,
#,#,,,,
talk,15,御坂 美琴,,,
#,#,,,,
talk,16,御坂 美琴,,,
#,#,,,,
image,100020918,3,シーン03,
シーン03.fade,in,0.5,
シーン02.fade,out,0.1,
bgm,stop,,,,
wait,1,
talk,17,婚后 光子,,,
bgm,play,30010020,,,
talk,18,佐天 涙子,,,
#,#,,,,
image,100020918,4,シーン04,
シーン04.fade,in,0.5,
シーン03.fade,out,0.1,
wait,1,
talk,19,佐天 涙子,,,
#,#,,,,
talk,20,佐天 涙子,,,
image,100020918,5,シーン05,
シーン05.fade,in,0.5,
シーン04.fade,out,0.1,
wait,1,
talk,21,白井 黒子,,,
#,#,,,,
talk,22,白井 黒子,,,
talk,23,白井 黒子,,,
#,#,,,,
talk,24,固法 美偉,,,
#,#,,,,
talk,25,初春 飾利,,,
#,#,,,,
image,100020918,6,シーン06,
シーン06.fade,in,0.5,
シーン05.fade,out,0.1,
wait,1,
talk,26,婚后 光子,,,
#,#,,,,
talk,27,泡浮 万彬,,,
talk,28,湾内 絹保,,,
#,#,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
screen.effect,ef_com_00000_001_009_01,"(0,0)",0,0,
image,100020709,10,シーン07,
シーン07.fade,in,0.5,
シーン06.fade,out,0.1,
wait,1,
fade,in,1,#FFFFFF,0,
wait,1,
talk,29,上条 当麻,,,
+talk,show,1,
#,#,,,,
talk,30,御坂 美琴,,,
talk,31,黒子たち,,,
#,#,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
screen.effect,stop,,,,
シーン07.fade,out,0.5,
御坂 美琴.facial,10,
+focus,フェブリ,
wait,1,
fade,in,1,#FFFFFF,0,
wait,1,
talk,32,フェブリ,,,
+talk,show,1,
talk,33,フェブリ,,,
talk,34,御坂 美琴,,,
#,#,,,,
talk,35,御坂 美琴,,,
#,#,,,,
talk,36,フェブリ,,,
#,#,,,,
talk,37,フェブリ,,,
#,#,,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
