#command,param1,param2,param3,param4,
#,
print,魔術サイドストーリー Chapter14,
stage,007005003,,,,
control,1,
bgm,stop,
chara,34000101,サーシャ,10,
chara,24000101,ステイル,10,
chara,3000701,土御門 元春,12,
fade,in,1,#000000,0,
+focus,on,ステイル,
+place,ステイル,空白,サーシャ,
+talk,start,
+talk,show,0,
bgm,play,30010011,,,
wait,0.5,
talk,1,ステイル,,,
+talk,show,1,
talk,2,サーシャ,,,
talk,3,ステイル,,,
talk,4,サーシャ,,,
talk,5,サーシャ,,,
talk,6,サーシャ,,,
talk,7,ステイル,,,
talk,8,サーシャ,,,
talk,9,ステイル,,,
talk,10,ステイル,,,
talk,11,ステイル,,,
talk,12,サーシャ,,,
talk,13,ステイル,,,
talk,14,サーシャ,,,
talk,15,サーシャ,,,
talk,16,ステイル,,,
talk,17,サーシャ,,,
talk,18,サーシャ,,,
talk,19,ステイル,,,
talk,20,サーシャ,,,
talk,21,ステイル,,,
talk,22,ステイル,,,
talk,23,ステイル,,,
talk,24,サーシャ,,,
talk,25,ステイル,,,
talk,26,ステイル,,,
talk,27,サーシャ,,,
talk,28,サーシャ,,,
talk,29,ステイル,,,
talk,30,サーシャ,,,
talk,31,ステイル,,,
bgm,stop,
se,play,300200000021,,,
talk,32,土御門 元春,,,
+土御門 元春.fade,in,0.5,
+土御門 元春.move,4,0,1,
+ステイル.move,0,1,1,
+place,土御門 元春,ステイル,サーシャ,
wait,2,
talk,33,ステイル,,,
bgm,play,30010012,,,
talk,34,土御門 元春,,,
talk,35,ステイルたち,,,
+focus,on,ステイル,サーシャ,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
