#command,param1,param2,param3,param4,
#,
print,御坂 美琴 チャプター03,
control,1,
bgm,stop,
stage,15001001,,,,
bgm,play,30010003,,,
chara,4000102,御坂 美琴,10,
chara,5000101,白井 黒子,10,
chara,37000101,佐天 涙子,10,
chara,36000101,初春 飾利,10,
place,佐天 涙子,初春 飾利,白井 黒子,御坂 美琴,
+御坂 美琴.fade,out,0.1,
+白井 黒子.fade,out,0.1,
+佐天 涙子.fade,out,0.1,
+初春 飾利.fade,out,0.1,
talk,start,
+talk,show,0,
+fade,in,1.0,#000000,0,
初春 飾利.fade,in,0.5,
+talk,1,初春 飾利,,,
+talk,show,1,
佐天 涙子.fade,in,0.5,
+talk,2,佐天 涙子,,,
talk,3,佐天 涙子,,,
御坂 美琴.fade,in,0.5,
+talk,4,御坂 美琴,,,
白井 黒子.fade,in,0.5,
+talk,5,白井 黒子,,,
talk,6,佐天 涙子,,,
talk,7,御坂 美琴,,,
talk,8,初春 飾利,,,
talk,9,御坂 美琴,,,
talk,10,白井 黒子,,,
talk,11,佐天 涙子,,,
talk,12,初春 飾利,,,
talk,13,御坂 美琴,,,
talk,14,御坂 美琴,,,
bgm,play,30010006,,,
talk,15,白井 黒子,,,
talk,16,御坂 美琴,,,
talk,17,白井 黒子,,,
talk,18,白井 黒子,,,
talk,19,御坂 美琴,,,
talk,20,佐天 涙子,,,
talk,21,初春 飾利,,,
talk,22,白井 黒子,,,
talk,23,白井 黒子,,,
talk,24,御坂 美琴,,,
talk,25,初春 飾利,,,
talk,26,佐天 涙子,,,
talk,27,佐天 涙子,,,
talk,28,初春 飾利,,,
talk,29,佐天 涙子,,,
talk,30,初春 飾利,,,
talk,31,佐天 涙子,,,
talk,32,初春 飾利,,,
talk,33,佐天 涙子,,,
talk,34,佐天 涙子,,,
talk,35,白井 黒子,,,
talk,36,御坂 美琴,,,
fade,out,1.5,#FFFFFF,0,
+talk,show,0,
御坂 美琴.fade,out,0.1,
+白井 黒子.fade,out,0.1,
+佐天 涙子.fade,out,0.1,
+初春 飾利.fade,out,0.1,
御坂 美琴.facial,10,
+白井 黒子.facial,15,
+佐天 涙子.facial,10,
+初春 飾利.facial,15,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
bgm,play,30010003,,,
御坂 美琴.fade,in,0.5,
+talk,37,御坂 美琴,,,
+talk,show,1,
佐天 涙子.fade,in,0.5,
+talk,38,佐天 涙子,,,
talk,39,御坂 美琴,,,
白井 黒子.fade,in,0.5,
+talk,40,白井 黒子,,,
talk,41,御坂 美琴,,,
talk,42,佐天 涙子,,,
初春 飾利.fade,in,0.5,
+talk,43,初春 飾利,,,
talk,44,白井 黒子,,,
talk,45,御坂 美琴,,,
talk,46,白井 黒子,,,
fade,out,1.5,#FFFFFF,0,
+talk,show,0,
御坂 美琴.fade,out,0.1,
+白井 黒子.fade,out,0.1,
+佐天 涙子.fade,out,0.1,
+初春 飾利.fade,out,0.1,
御坂 美琴.facial,11,
+白井 黒子.facial,10,
+佐天 涙子.facial,10,
+初春 飾利.facial,10,
+stage,007010004,,,,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
佐天 涙子.fade,in,0.5,
+talk,47,佐天 涙子,,,
+talk,show,1,
talk,48,佐天 涙子,,,
御坂 美琴.fade,in,0.5,
+talk,49,御坂 美琴,,,
初春 飾利.fade,in,0.5,
+talk,50,初春 飾利,,,
talk,51,御坂 美琴,,,
talk,52,御坂 美琴,,,
talk,53,御坂 美琴,,,
talk,54,佐天 涙子,,,
talk,55,初春 飾利,,,
bgm,play,30010007,,,
talk,56,御坂 美琴,,,
talk,57,御坂 美琴,,,
talk,58,御坂 美琴,,,
白井 黒子.fade,in,0.5,
+talk,59,白井 黒子,,,
talk,60,御坂 美琴,,,
talk,61,白井 黒子,,,
talk,62,白井 黒子,,,
talk,63,御坂 美琴,,,
talk,64,白井 黒子,,,
bgm,play,30010005,,,
talk,65,御坂 美琴,,,
talk,66,白井 黒子,,,
talk,67,御坂 美琴,,,
talk,68,白井 黒子,,,
talk,69,御坂 美琴,,,
+se,play,0300200000260,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],








