#command,param1,param2,param3,param4,
#,
control,1,,,,
chara,37000101,佐天 涙子,10,,
chara,36000101,初春 飾利,10,,
chara,4000102,御坂 美琴,10,,
talk,start,,,,
+talk,show,0,,,
place,佐天 涙子,初春 飾利,御坂 美琴,,
+佐天 涙子.fade,out,0.1,,,
+初春 飾利.fade,out,0.1,,,
+御坂 美琴.fade,out,0.1,,,
stage,010001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010003,1,,
# 会話開始,
talk,1,佐天 涙子,,,
+talk,show,1,
+佐天 涙子.fade,in,0.5,
talk,2,御坂 美琴,,,
+御坂 美琴.fade,in,0.5,
talk,3,佐天 涙子,,,
talk,4,御坂 美琴,,,
talk,5,初春 飾利,,,
+初春 飾利.fade,in,0.5,
talk,6,佐天 涙子,,,
talk,7,御坂 美琴,,,
talk,8,佐天 涙子,,,
talk,9,御坂 美琴,,,
talk,10,佐天 涙子,,,
talk,11,初春 飾利,,,
talk,12,御坂 美琴,,,
talk,13,初春 飾利,,,
talk,14,佐天 涙子,,,
talk,15,御坂 美琴,,,
talk,16,初春 飾利,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































