#command,param1,param2,param3,param4,
#,
stage,14001004,,,,
control,1,
bgm,stop,
chara,36000101,初春 飾利,10,
chara,5000102,白井 黒子,14,
chara,35000101,固法 美偉,10,
place,白井 黒子,固法 美偉,初春 飾利,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
+focus,on,白井 黒子,
bgm,play,30010001,,,
wait,0.5,
talk,1,白井 黒子,,,
+talk,show,1,
talk,2,白井 黒子,,,
talk,3,初春 飾利,,,
talk,4,白井 黒子,,,
talk,5,白井 黒子,,,
talk,6,初春 飾利,,,
talk,7,白井 黒子,,,
talk,8,固法 美偉,,,
talk,9,白井 黒子,,,
talk,10,固法 美偉,,,
se,play,300100000410,,,
wait,1,
talk,11,白井 黒子,,,
talk,12,初春 飾利,,,
talk,13,固法 美偉,,,
talk,14,固法 美偉,,,
talk,15,白井 黒子,,,
wait,0.5,
talk,16,初春 飾利,,,
wait,0.5,
talk,17,白井 黒子,,,
bgm,stop,
talk,18,白井 黒子,,,
talk,19,白井 黒子,,,
talk,20,白井 黒子,,,
bgm,play,30010020,,,
talk,21,固法 美偉,,,
talk,22,白井 黒子,,,
talk,23,固法 美偉,,,
talk,24,固法 美偉,,,
talk,25,初春 飾利,,,
talk,26,白井 黒子,,,
talk,27,固法 美偉,,,
talk,28,白井 黒子,,,
se,play,300700000590,,,
+白井 黒子.fade,out,0.3,
wait,1,
talk,29,固法 美偉,,,
talk,30,初春 飾利,,,
se,play,300200000012,,,
+初春 飾利.move,2,5,1,
+初春 飾利.fade,out,0.5,
wait,0.5,
se,play,300100000360,,,
wait,1,
talk,31,固法 美偉,,,
se,play,300200000092,,,
+固法 美偉.move,1,4,1,
+固法 美偉.fade,out,0.5,
wait,1.5,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],






