#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7017001,,,,,
bgm,stop,
chara,53000101,湾内 絹保,10,
chara,55000101,泡浮 万彬,10,
chara,9000101,婚后 光子,10,
chara,37001601,佐天 涙子,15,
chara,36001301,初春 飾利,15,
chara,4003701,御坂 美琴,15,
chara,5001901,白井 黒子,15,
+place,佐天 涙子,初春 飾利,白井 黒子,御坂 美琴,
+focus,on,白井 黒子,
bgm,play,30010008,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,1,
talk,1,白井 黒子,,,,
+talk,show,1,
talk,2,初春 飾利,,,,
talk,3,婚后たち,,,,
wait,1,
bgm,stop,
se,play,300200000061,,,,
+talk,show,0,
wait,2,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
wait,1,
bgm,play,30010003,,,,
talk,4,婚后 光子,,,,
+talk,show,1,
+婚后 光子.fade,in,0.5,
+泡浮 万彬.fade,in,0.5,
+湾内 絹保.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,婚后 光子,泡浮 万彬,湾内 絹保,御坂 美琴,
wait,1,
talk,5,御坂 美琴,,,,
talk,6,湾内 絹保,,,,
talk,7,泡浮 万彬,,,,
御坂 美琴.fade,out,0.5,
talk,8,初春 飾利,,,,
+初春 飾利.fade,in,0.5,
+place,婚后 光子,泡浮 万彬,湾内 絹保,初春 飾利,
talk,9,婚后 光子,,,,
talk,10,婚后 光子,,,,
talk,11,泡浮 万彬,,,,
talk,12,湾内 絹保,,,,
talk,13,婚后 光子,,,,
talk,14,婚后 光子,,,,
talk,15,泡浮たち,,,,
+泡浮 万彬.facial,12,
+湾内 絹保.facial,12,
+focus,on,泡浮 万彬,湾内 絹保,
wait,1,
bgm,stop,
初春 飾利.fade,out,0.5,
talk,16,白井 黒子,,,,
+白井 黒子.fade,in,0.5,
+place,婚后 光子,泡浮 万彬,湾内 絹保,白井 黒子,
talk,17,婚后 光子,,,,
+婚后 光子.shake,"(0.10,0)","(10,0)",1,
bgm,play,30010009,,,,
talk,18,泡浮 万彬,,,,
talk,19,泡浮 万彬,,,,
婚后 光子.fade,out,0.5,
talk,20,御坂 美琴,,,,
+御坂 美琴.fade,in,0.5,
+place,御坂 美琴,泡浮 万彬,湾内 絹保,白井 黒子,
talk,21,白井 黒子,,,,
talk,22,湾内 絹保,,,,
talk,23,湾内 絹保,,,,
talk,24,湾内 絹保,,,,
御坂 美琴.fade,out,0.5,
talk,25,婚后 光子,,,,
+婚后 光子.fade,in,0.5,
+place,婚后 光子,泡浮 万彬,湾内 絹保,白井 黒子,
talk,26,婚后 光子,,,,
talk,27,泡浮 万彬,,,,
wait,1,
婚后 光子.fade,out,0.5,
+泡浮 万彬.fade,out,0.5,
+湾内 絹保.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+talk,show,0,
wait,1,
talk,28,佐天 涙子,,,,
+talk,show,1,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+白井 黒子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,佐天 涙子,初春 飾利,白井 黒子,御坂 美琴,
+初春 飾利.facial,10,
+白井 黒子.facial,10,
+御坂 美琴.facial,14,
talk,29,佐天 涙子,,,,
talk,30,御坂 美琴,,,,
talk,31,御坂 美琴,,,,
talk,32,初春 飾利,,,,
talk,33,白井 黒子,,,,
talk,34,佐天 涙子,,,,
talk,35,御坂 美琴,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
