#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,17002001,,,,,
bgm,stop,,,,,
chara,24000801,ステイル,20,
chara,1000401,上条 当麻,15,
chara,25000401,神裂 火織,22,
chara,2002601,インデックス,15,
chara,45001301,オティヌス,10,
+place,オティヌス,上条 当麻,インデックス,
+focus,on,インデックス,
bgm,play,30010008,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,インデックス,,,,
+talk,show,1,
talk,2,上条 当麻,,,,
talk,3,インデックス,,,,
talk,4,上条 当麻,,,,
talk,5,インデックス,,,,
talk,6,オティヌス,,,,
talk,7,オティヌス,,,,
talk,8,上条 当麻,,,,
bgm,play,30010003,,,,
talk,9,上条 当麻,,,,
talk,10,オティヌス,,,,
talk,11,インデックス,,,,
talk,12,上条 当麻,,,,
talk,13,オティヌス,,,,
bgm,stop,,,,,
talk,14,オティヌス,,,,
オティヌス.fade,out,0.5,
+上条 当麻.fade,out,0.5,
+インデックス.fade,out,0.5,
+talk,show,0,
wait,0.5,
se,play,300200000240,,,,
+神裂 火織.fade,in,0.5,
+オティヌス.fade,in,0.5,
+上条 当麻.fade,in,0.5,
+ステイル.fade,in,0.5,
+place,神裂 火織,オティヌス,上条 当麻,ステイル,
+focus,off,神裂 火織,オティヌス,上条 当麻,ステイル,
wait,1,
bgm,play,30010009,,,,
talk,15,ステイル,,,,
+talk,show,1,
talk,16,神裂 火織,,,,
talk,17,上条 当麻,,,,
talk,18,神裂 火織,,,,
talk,19,ステイル,,,,
talk,20,オティヌス,,,,
talk,21,神裂 火織,,,,
+se,play,300700000840,,,,
talk,22,上条 当麻,,,,
talk,23,上条 当麻,,,,
talk,24,上条 当麻,,,,
talk,25,ステイル,,,,
talk,26,上条 当麻,,,,
talk,27,オティヌス,,,,
talk,28,上条 当麻,,,,
talk,29,神裂 火織,,,,
talk,30,ステイル,,,,
talk,31,上条 当麻,,,,
bgm,stop,,,,,
オティヌス.fade,out,0.5,
wait,0.5,
bgm,play,30010006,,,,
talk,32,インデックス,,,,
+インデックス.fade,in,0.5,
+place,神裂 火織,インデックス,上条 当麻,ステイル,
talk,33,上条 当麻,,,,
上条 当麻.fade,out,0.5,
talk,34,オティヌス,,,,
+オティヌス.fade,in,0.5,
+place,神裂 火織,インデックス,オティヌス,ステイル,
talk,35,神裂 火織,,,,
+神裂 火織.shake,"(0.10,0)","(10,0)",1,
talk,36,ステイル,,,,
talk,37,神裂 火織,,,,
オティヌス.fade,out,0.5,
talk,38,上条 当麻,,,,
+上条 当麻.fade,in,0.5,
+place,神裂 火織,インデックス,上条 当麻,ステイル,
talk,39,ステイル,,,,
talk,40,上条 当麻,,,,
talk,41,神裂 火織,,,,
talk,42,上条 当麻,,,,
talk,43,インデックス,,,,
talk,44,上条 当麻,,,,
talk,45,神裂 火織,,,,
talk,46,神裂 火織,,,,
talk,47,ステイル,,,,
talk,48,上条 当麻,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
