#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,5002002,,,,,,
bgm,stop,,,,,,
chara,4000202,御坂 美琴,10,
chara,37000201,佐天 涙子,12,
chara,36000201,初春 飾利,10,
+place,御坂 美琴,初春 飾利,佐天 涙子,
+focus,on,初春 飾利,
bgm,play,30010022,,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,初春 飾利,,,,,
+talk,show,1,
talk,2,御坂 美琴,,,,,
talk,3,初春 飾利,,,,,
talk,4,佐天 涙子,,,,,
talk,5,御坂 美琴,,,,,
talk,6,初春 飾利,,,,,
talk,7,御坂 美琴,,,,,
talk,8,初春 飾利,,,,,
talk,9,初春 飾利,,,,,
talk,10,御坂 美琴,,,,,
talk,11,佐天 涙子,,,,,
talk,12,初春 飾利,,,,,
talk,13,佐天 涙子,,,,,
talk,14,佐天 涙子,,,,,
talk,15,御坂 美琴,,,,,
talk,16,初春 飾利,,,,,
talk,17,初春 飾利,,,,,
talk,18,御坂 美琴,,,,,
talk,19,初春 飾利,,,,,
talk,20,初春 飾利,,,,,
talk,21,佐天 涙子,,,,,
talk,22,初春 飾利,,,,,
talk,23,初春 飾利,,,,,
talk,24,佐天 涙子,,,,,
talk,25,佐天 涙子,,,,,
talk,26,初春 飾利,,,,,
talk,27,佐天 涙子,,,,,
talk,28,佐天 涙子,,,,,
talk,29,初春 飾利,,,,,
talk,30,佐天 涙子,,,,,
talk,31,佐天 涙子,,,,,
talk,32,初春 飾利,,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
