#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7020007,,,,,
stage,mat,ef_mat_heatwave_00_dst,
bgm,stop,,,,,
chara,103000801,上里 翔流,10,
chara,1000401,上条 当麻,20,
chara,245000701,木原 唯一,12,
+place,上里 翔流,上条 当麻,
+focus,on,上条 当麻,
bgm,play,30010011,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,上条 当麻,,,,
+talk,show,1,
talk,2,上条 当麻,,,,
talk,3,上条 当麻,,,,
talk,4,上里 翔流,,,,
talk,5,上里 翔流,,,,
talk,6,上里 翔流,,,,
talk,7,上条 当麻,,,,
talk,8,上里 翔流,,,,
talk,9,上里 翔流,,,,
talk,10,上里 翔流,,,,
talk,11,上里 翔流,,,,
talk,12,上里 翔流,,,,
talk,13,上里 翔流,,,,
talk,14,上里 翔流,,,,
talk,15,上里 翔流,,,,
talk,16,上里 翔流,,,,
bgm,stop,,,,,
se,play,300700001170,,,,
+stage.shake,"(0.10,0)","(10,0)",1,
+focus,off,上里 翔流,上条 当麻,
wait,2,
talk,17,上里 翔流,,,,
talk,18,上条 当麻,,,,
bgm,play,30010020,,,,
talk,19,上条 当麻,,,,
talk,20,上里 翔流,,,,
talk,21,上里 翔流,,,,
talk,22,上条 当麻,,,,
talk,23,上里 翔流,,,,
talk,24,上里 翔流,,,,
talk,25,上里 翔流,,,,
talk,26,上里 翔流,,,,
talk,27,上里 翔流,,,,
talk,28,上里 翔流,,,,
talk,29,上里 翔流,,,,
talk,30,上里 翔流,,,,
talk,31,上里 翔流,,,,
talk,32,上里 翔流,,,,
talk,33,上里 翔流,,,,
talk,34,上里 翔流,,,,
talk,35,上里 翔流,,,,
talk,36,上里 翔流,,,,
talk,37,上里 翔流,,,,
talk,38,上里 翔流,,,,
talk,39,上里 翔流,,,,
talk,40,上里 翔流,,,,
talk,41,上里 翔流,,,,
se,play,300400000090,,,,
+focus,off,上里 翔流,上条 当麻,
wait,3,
talk,42,上条 当麻,,,,
talk,43,上里 翔流,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
stage,9004004,,,,,
stage,mat,
上里 翔流.facial,21,
上条 当麻.facial,21,
+focus,on,上条 当麻,
wait,1.5,
fade,in,1,#000000,0,
bgm,play,30010009,,,,
talk,44,上条 当麻,,,,
+talk,show,1,
talk,45,上条 当麻,,,,
talk,46,上里 翔流,,,,
talk,47,上里 翔流,,,,
talk,48,上里 翔流,,,,
talk,49,上条 当麻,,,,
talk,50,上条 当麻,,,,
talk,51,上里 翔流,,,,
talk,52,上里 翔流,,,,
talk,53,上里 翔流,,,,
talk,54,上里 翔流,,,,
talk,55,上条 当麻,,,,
talk,56,上里 翔流,,,,
talk,57,上里 翔流,,,,
talk,58,上里 翔流,,,,
