#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,1006,,,,,
bgm,stop,,,,,
chara,103000801,上里 翔流,10,
chara,1000401,上条 当麻,16,
chara,155000701,去鳴,10,
+place,上条 当麻,
+focus,on,上条 当麻,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,上条 当麻,,,,
+talk,show,1,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
wait,1,
bgm,play,30010009,,,,
talk,2,上条 当麻,,,,
talk,3,上条 当麻,,,,
wait,1,
上条 当麻.fade,out,0.5,
talk,4,上里 翔流,,,,
+se,play,300200000480,,,,
+上里 翔流.fade,in,0.5,
+上条 当麻.fade,in,0.5,
+place,上里 翔流,上条 当麻,
talk,5,上条 当麻,,,,
talk,6,上里 翔流,,,,
talk,7,上里 翔流,,,,
talk,8,上条 当麻,,,,
talk,9,上里 翔流,,,,
talk,10,上里 翔流,,,,
talk,11,上里 翔流,,,,
talk,12,上条 当麻,,,,
talk,13,上里 翔流,,,,
talk,14,上里 翔流,,,,
talk,15,上里 翔流,,,,
talk,16,上条 当麻,,,,
talk,17,上条 当麻,,,,
talk,18,上里 翔流,,,,
talk,19,上里 翔流,,,,
talk,20,上里 翔流,,,,
wait,1,
fade,out,1,#000000,0,
talk,show,0,
stage,15001001,,,,,
+上里 翔流.facial,22,
+上条 当麻.facial,10,
+focus,on,上里 翔流,
wait,1.5,
fade,in,1,#000000,0,
talk,21,上里 翔流,,,,
+talk,show,1,
talk,22,上里 翔流,,,,
talk,23,上里 翔流,,,,
talk,24,上里 翔流,,,,
talk,25,上里 翔流,,,,
talk,26,上里 翔流,,,,
talk,27,上里 翔流,,,,
talk,28,上条 当麻,,,,
talk,29,上里 翔流,,,,
talk,30,上条 当麻,,,,
talk,31,上里 翔流,,,,
talk,32,上里 翔流,,,,
talk,33,上里 翔流,,,,
talk,34,上里 翔流,,,,
talk,35,上条 当麻,,,,
talk,36,上里 翔流,,,,
talk,37,上里 翔流,,,,
wait,2,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
stage,44001004,,,,,
+上里 翔流.facial,10,
+上条 当麻.facial,10,
+focus,off,上里 翔流,上条 当麻,
+place,上里 翔流,空白,上条 当麻,
wait,1.5,
fade,in,1,#000000,0,
talk,38,去鳴,,,,
+talk,show,1,
+se,play,300200000480,,,,
+去鳴.fade,in,0.5,
+place,上里 翔流,去鳴,上条 当麻,
bgm,play,30010006,,,,
talk,39,上条 当麻,,,,
talk,40,上条 当麻,,,,
talk,41,去鳴,,,,
talk,42,上条 当麻,,,,
talk,43,去鳴,,,,
talk,44,上条 当麻,,,,
talk,45,上条 当麻,,,,
talk,46,上条 当麻,,,,
talk,47,去鳴,,,,
+去鳴.shake,"(0.10,0)","(10,0)",1,
talk,48,上里 翔流,,,,
talk,49,去鳴,,,,
talk,50,去鳴,,,,
+去鳴.shake,"(0.10,0)","(10,0)",1,
talk,51,上里 翔流,,,,
talk,52,上里 翔流,,,,
talk,53,上里 翔流,,,,
talk,54,去鳴,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
+上里 翔流.facial,11,
+上条 当麻.facial,20,
+去鳴.facial,11,
+focus,on,上条 当麻,
wait,1.5,
fade,in,1,#000000,0,
bgm,play,30010008,,,,
talk,55,上条 当麻,,,,
+talk,show,1,
talk,56,上条 当麻,,,,
talk,57,上里 翔流,,,,
talk,58,去鳴,,,,
talk,59,去鳴,,,,
talk,60,去鳴,,,,
talk,61,去鳴,,,,
bgm,stop,,,,,
talk,62,上条 当麻,,,,
bgm,play,30010014,,,,
talk,63,上条 当麻,,,,
talk,64,去鳴,,,,
talk,65,上条 当麻,,,,
talk,66,上条 当麻,,,,
talk,67,去鳴,,,,
talk,68,去鳴,,,,
talk,69,去鳴,,,,
talk,70,去鳴,,,,
talk,71,上条 当麻,,,,
talk,72,去鳴,,,,
+去鳴.shake,"(0.10,0)","(10,0)",1,
talk,73,去鳴,,,,
talk,74,去鳴,,,,
talk,75,去鳴,,,,
talk,76,去鳴,,,,
talk,77,上里 翔流,,,,
talk,78,上里 翔流,,,,
talk,79,上条 当麻,,,,
talk,80,上条 当麻,,,,
talk,81,去鳴,,,,
talk,82,上条 当麻,,,,
talk,83,去鳴,,,,
+去鳴.shake,"(0.10,0)","(10,0)",1,
talk,84,去鳴,,,,
bgm,play,30010008,,,,
talk,85,上条 当麻,,,,
talk,86,上条 当麻,,,,
talk,87,上条 当麻,,,,
talk,88,上条 当麻,,,,
talk,89,上里 翔流,,,,
talk,90,上里 翔流,,,,
talk,91,上里 翔流,,,,
talk,92,上条 当麻,,,,
talk,93,上条 当麻,,,,
talk,94,上里 翔流,,,,
talk,95,上里 翔流,,,,
talk,96,上条 当麻,,,,
talk,97,上里 翔流,,,,
talk,98,上里 翔流,,,,
talk,99,上里 翔流,,,,
talk,100,上里 翔流,,,,
talk,101,上里 翔流,,,,
talk,102,上里 翔流,,,,
talk,103,上条 当麻,,,,
talk,104,上条 当麻,,,,
talk,105,上里 翔流,,,,
bgm,stop,,,,,
talk,106,上里 翔流,,,,
talk,107,上条 当麻,,,,
bgm,play,30010010,,,,
talk,108,上里 翔流,,,,
talk,109,上里 翔流,,,,
talk,110,上条 当麻,,,,
talk,111,上里 翔流,,,,
talk,112,上里 翔流,,,,
talk,113,上里 翔流,,,,
talk,114,上里 翔流,,,,
talk,115,上里 翔流,,,,
talk,116,上里 翔流,,,,
talk,117,上里 翔流,,,,
talk,118,上条 当麻,,,,
talk,119,去鳴,,,,
talk,120,上条 当麻,,,,
talk,121,上条 当麻,,,,
talk,122,上条 当麻,,,,
talk,123,上里 翔流,,,,
talk,124,上里 翔流,,,,
talk,125,上里 翔流,,,,
talk,126,上条 当麻,,,,
talk,127,上条 当麻,,,,
talk,128,上条 当麻,,,,
talk,129,上条 当麻,,,,
talk,130,上里 翔流,,,,
talk,131,上条 当麻,,,,
talk,132,上里 翔流,,,,
talk,133,上里 翔流,,,,
talk,134,上里 翔流,,,,
talk,135,上里 翔流,,,,
talk,136,上里 翔流,,,,
talk,137,上条 当麻,,,,
talk,138,上里 翔流,,,,
talk,139,上里 翔流,,,,
talk,140,上里 翔流,,,,
talk,141,上里 翔流,,,,
talk,142,上里 翔流,,,,
talk,143,上里 翔流,,,,
talk,144,上里 翔流,,,,
talk,145,上里 翔流,,,,
talk,146,上条 当麻,,,,
bgm,play,30010020,,,,
talk,147,上里 翔流,,,,
talk,148,上里 翔流,,,,
talk,149,上条 当麻,,,,
talk,150,上里 翔流,,,,
talk,151,上里 翔流,,,,
talk,152,上条 当麻,,,,
talk,153,上里 翔流,,,,
talk,154,上里 翔流,,,,
talk,155,上里 翔流,,,,
talk,156,上里 翔流,,,,
talk,157,上里 翔流,,,,
talk,158,上里 翔流,,,,
talk,159,上条 当麻,,,,
talk,160,上里 翔流,,,,
talk,161,上里 翔流,,,,
talk,162,上里 翔流,,,,
talk,163,上里 翔流,,,,
talk,164,上里 翔流,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],,,,, ,
